normalization,M2,s0,f_Bcstar_used_GeV,theta_sumrule_deg,Pi_1,Pi_2,f1_GeV,f2_GeV,int_A,int_B_1,int_B_2,g1_GeV_inv,g2_GeV_inv,Gamma1_keV,Gamma2_keV
LO_vector_twopoint,7.0,53.0,0.7531429176414072,42.97371857761205,0.0047588886837167475,0.03615743754213063,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,-0.04731307204427945,0.10310345348618682,26.956459287071695,135.4834080126936
reference_f_Bcstar_0p384,7.0,53.0,0.384,42.97371857761205,0.0047588886837167475,0.03615743754213063,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,-0.09279558625522585,0.20221780150388508,103.69437337372229,521.1688577791238
LO_vector_twopoint,7.0,54.0,0.7531429176414072,43.07714202842204,0.004937722689957631,0.03718037558075434,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,-0.046978781070102144,0.1023030303778176,26.576882737522933,133.3879765787927
reference_f_Bcstar_0p384,7.0,54.0,0.384,43.07714202842204,0.004937722689957631,0.03718037558075434,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,-0.09213993813118136,0.20064792391225791,102.23424272252454,513.1082869462856
LO_vector_twopoint,7.0,55.0,0.7531429176414072,43.174846919598174,0.005105231846378816,0.03812018351358491,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,-0.04666176490648064,0.10156617166154029,26.2194075562624,131.47338768193927
reference_f_Bcstar_0p384,7.0,55.0,0.384,43.174846919598174,0.005105231846378816,0.03812018351358491,0.2726594085362706,0.7499357878963638,0.0032939127711641815,-0.004346080285330705,-0.0043481326979000435,-0.09151817126032359,0.1992027157782304,100.85913019299264,505.7433695506723
LO_vector_twopoint,8.0,53.0,0.7531429176414072,43.169691306282814,0.010284264657178799,0.07688380756047791,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,-0.045073905986288076,0.09633885721606897,24.46532226684734,118.28853919785516
reference_f_Bcstar_0p384,8.0,53.0,0.384,43.169691306282814,0.010284264657178799,0.07688380756047791,0.2578642501393162,0.7089852374460419,0.0063286535469308765,-0.008400786723061819,-0.00840473037639686,-0.08840388818751951,0.18895033334882588,94.11162774866408,455.02474263366196
LO_vector_twopoint,8.0,54.0,0.7531429176414072,43.28944792015294,0.010748087331285242,0.0795437768480986,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,-0.044743558698019534,0.0954938825725188,24.10802302898728,116.22265442809784
reference_f_Bcstar_0p384,8.0,54.0,0.384,43.28944792015294,0.010748087331285242,0.0795437768480986,0.26361499337400185,0.7211454286763629,0.0063727364279643406,-0.008478425321929092,-0.008482397991849378,-0.08775597485282813,0.187293076399929,92.73719202688605,447.0778300076018
LO_vector_twopoint,8.0,55.0,0.7531429176414072,43.403825203342606,0.01119024795999183,0.08203173803030064,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,-0.044425306138529685,0.09470522683533335,23.76629099243808,114.31088446503898
reference_f_Bcstar_0p384,8.0,55.0,0.384,43.403825203342606,0.01119024795999183,0.08203173803030064,0.26898271278922997,0.7323365460719683,0.006410810803855617,-0.00854671995763944,-0.008550717866587225,-0.08713178302678377,0.18574627826732878,91.4226392136132,439.7237563051564
LO_vector_twopoint,9.0,53.0,0.7531429176414072,43.32213038297105,0.018854136491080975,0.13923025282055,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,-0.04358949762425973,0.09167809484229503,22.880435121577893,107.12006983702439
reference_f_Bcstar_0p384,9.0,53.0,0.384,43.32213038297105,0.018854136491080975,0.13923025282055,0.2546121986865104,0.6952361568459186,0.010663838902955039,-0.014266039398921177,-0.0142726884815514,-0.08549250369598481,0.17980913498263468,88.0149858400733,412.0625932066265
LO_vector_twopoint,9.0,54.0,0.7531429176414072,43.455073756864564,0.0198275938595713,0.1448236738240677,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,-0.043270685124370475,0.0908091829122681,22.546965227735456,105.09915486900171
reference_f_Bcstar_0p384,9.0,54.0,0.384,43.455073756864564,0.0198275938595713,0.1448236738240677,0.26110241639811826,0.7090638173945522,0.01075650155224957,-0.014429239964184389,-0.014435950040447988,-0.08486721365341413,0.1781049296020255,86.7322153058297,404.28866752080035
LO_vector_twopoint,9.0,55.0,0.7531429176414072,43.58301768518727,0.020768376311988405,0.15012876473720133,0.26722504325816265,0.7219340070264485,0.01083765351912268,-0.014574806705300087,-0.014581570576639627,-0.042959610587106005,0.0899898313807875,22.223948590948666,103.21113736656557
reference_f_Bcstar_0p384,9.0,55.0,0.384,43.58301768518727,0.020768376311988405,0.15012876473720133,0.26722504325816265,0.7219340070264485,0.01083765351912268,-0.014574806705300087,-0.014581570576639627,-0.0842571001518534,0.17649792751089732,85.48965568832986,397.0259632557924
