topology,class,current,object,eff,support,sector,borel_activity,delta_external,refined_borel_support
c_photon,single_line_G2,A,c_after_photon,"(4, 1, 1)","{1,2,3}",all_positive,double_borel_active,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3),ordinary_all_positive
c_photon,single_line_G2,A,c_after_photon,"(3, 0, 1)","{1,3}",contact_or_derivative,single_virtuality,P2*t1*t3/(t1 + t3),single_physical_virtuality
c_photon,single_line_G2,A,c_after_photon,"(4, -1, 1)","{1,3}",contact_or_derivative,single_virtuality,P2*t1*t3/(t1 + t3),single_physical_virtuality
c_photon,single_line_G2,A,c_after_photon,"(3, 1, 0)","{1,2}",contact_or_derivative,no_external_virtuality,0,no_external_virtuality
c_photon,single_line_G2,A,c_after_photon,"(4, 0, 0)",{1},contact_or_derivative,no_external_virtuality,0,no_external_virtuality
c_photon,single_line_G2,A,c_after_photon,"(3, 1, 1)","{1,2,3}",all_positive,double_borel_active,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3),ordinary_all_positive
c_photon,single_line_G2,A,c_after_photon,"(4, 0, 1)","{1,3}",contact_or_derivative,single_virtuality,P2*t1*t3/(t1 + t3),single_physical_virtuality
c_photon,single_line_G2,A,c_after_photon,"(3, 0, 1)","{1,3}",contact_or_derivative,single_virtuality,P2*t1*t3/(t1 + t3),single_physical_virtuality
c_photon,single_line_G2,A,c_after_photon,"(4, -1, 1)","{1,3}",contact_or_derivative,single_virtuality,P2*t1*t3/(t1 + t3),single_physical_virtuality
c_photon,single_line_G2,A,c_after_photon,"(3, 1, 0)","{1,2}",contact_or_derivative,no_external_virtuality,0,no_external_virtuality
c_photon,single_line_G2,A,c_after_photon,"(4, 0, 0)",{1},contact_or_derivative,no_external_virtuality,0,no_external_virtuality
c_photon,single_line_G2,A,c_after_photon,"(3, 1, 1)","{1,2,3}",all_positive,double_borel_active,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3),ordinary_all_positive
c_photon,single_line_G2,A,c_after_photon,"(4, 0, 1)","{1,3}",contact_or_derivative,single_virtuality,P2*t1*t3/(t1 + t3),single_physical_virtuality
c_photon,single_line_G2,A,c_after_photon,"(3, 1, 1)","{1,2,3}",all_positive,double_borel_active,t3*(P2*t1 + p2*t2)/(t1 + t2 + t3),ordinary_all_positive
