topology,current,class,support,borel_activity,refined_borel_support,count
bbar_photon,A,open_pair_GG,"{1,2}",single_virtuality,single_physical_virtuality,12
bbar_photon,A,open_pair_GG,"{1,3}",double_borel_active,crossed_single_combination,18
bbar_photon,A,open_pair_GG,"{2,3}",no_external_virtuality,no_external_virtuality,4
bbar_photon,A,single_line_G2,"{1,2}",single_virtuality,single_physical_virtuality,27
bbar_photon,A,single_line_G2,"{1,3}",double_borel_active,crossed_single_combination,28
bbar_photon,A,single_line_G2,{1},no_external_virtuality,no_external_virtuality,3
bbar_photon,A,single_line_G2,"{2,3}",no_external_virtuality,no_external_virtuality,7
bbar_photon,A,single_line_G2,{2},no_external_virtuality,no_external_virtuality,3
bbar_photon,A,single_line_G2,{3},no_external_virtuality,no_external_virtuality,2
bbar_photon,B,open_pair_GG,"{1,2}",single_virtuality,single_physical_virtuality,14
bbar_photon,B,open_pair_GG,"{1,3}",double_borel_active,crossed_single_combination,12
bbar_photon,B,open_pair_GG,"{2,3}",no_external_virtuality,no_external_virtuality,6
bbar_photon,B,single_line_G2,"{1,2}",single_virtuality,single_physical_virtuality,18
bbar_photon,B,single_line_G2,"{1,3}",double_borel_active,crossed_single_combination,22
bbar_photon,B,single_line_G2,{1},no_external_virtuality,no_external_virtuality,1
bbar_photon,B,single_line_G2,"{2,3}",no_external_virtuality,no_external_virtuality,6
bbar_photon,B,single_line_G2,{2},no_external_virtuality,no_external_virtuality,2
bbar_photon,B,single_line_G2,{3},no_external_virtuality,no_external_virtuality,2
c_photon,A,open_pair_GG,"{1,2}",no_external_virtuality,no_external_virtuality,4
c_photon,A,open_pair_GG,"{1,3}",single_virtuality,single_physical_virtuality,18
c_photon,A,open_pair_GG,"{2,3}",single_virtuality,single_physical_virtuality,12
c_photon,A,single_line_G2,"{1,2}",no_external_virtuality,no_external_virtuality,7
c_photon,A,single_line_G2,"{1,3}",single_virtuality,single_physical_virtuality,28
c_photon,A,single_line_G2,{1},no_external_virtuality,no_external_virtuality,2
c_photon,A,single_line_G2,"{2,3}",single_virtuality,single_physical_virtuality,27
c_photon,A,single_line_G2,{2},no_external_virtuality,no_external_virtuality,3
c_photon,A,single_line_G2,{3},no_external_virtuality,no_external_virtuality,3
c_photon,B,open_pair_GG,"{1,2}",no_external_virtuality,no_external_virtuality,6
c_photon,B,open_pair_GG,"{1,3}",single_virtuality,single_physical_virtuality,12
c_photon,B,open_pair_GG,"{2,3}",single_virtuality,single_physical_virtuality,14
c_photon,B,single_line_G2,"{1,2}",no_external_virtuality,no_external_virtuality,6
c_photon,B,single_line_G2,"{1,3}",single_virtuality,single_physical_virtuality,20
c_photon,B,single_line_G2,{1},no_external_virtuality,no_external_virtuality,2
c_photon,B,single_line_G2,"{2,3}",single_virtuality,single_physical_virtuality,18
c_photon,B,single_line_G2,{2},no_external_virtuality,no_external_virtuality,2
c_photon,B,single_line_G2,{3},no_external_virtuality,no_external_virtuality,1
