M2,s0,mQ,mV,f_Bsstar_GeV,perturbative_integral
5.0,33.0,4.18,5.4154,0.2652235390158495,0.0058507672702538755
5.5,33.0,4.18,5.4154,0.258192765364627,0.009450331586901103
6.0,33.0,4.18,5.4154,0.25289894214703695,0.014139306713728646
6.5,33.0,4.18,5.4154,0.24879771543628101,0.019930287240771782
7.0,33.0,4.18,5.4154,0.2455449007863179,0.026794313979458383
7.5,33.0,4.18,5.4154,0.24291370651152272,0.03467237009698731
8.0,33.0,4.18,5.4154,0.24074944439270135,0.04348569593539309
5.0,34.0,4.18,5.4154,0.2719716711697432,0.006152279132114463
5.5,34.0,4.18,5.4154,0.2656571881387426,0.01000465350087201
6.0,34.0,4.18,5.4154,0.26100365531424896,0.015060079663312584
6.5,34.0,4.18,5.4154,0.2574760640890852,0.021344918696757652
7.0,34.0,4.18,5.4154,0.25473880768816626,0.028838391043784294
7.5,34.0,4.18,5.4154,0.25257265172411575,0.03748453570631218
8.0,34.0,4.18,5.4154,0.25082943678564956,0.047203352427832156
5.0,35.0,4.18,5.4154,0.2778527486694469,0.006421227937029984
5.5,35.0,4.18,5.4154,0.27226024375061136,0.010508176696990076
6.0,35.0,4.18,5.4154,0.26826103465014367,0.01590923439637914
6.5,35.0,4.18,5.4154,0.26532632824618263,0.022666343999909726
7.0,35.0,4.18,5.4154,0.2631270033298016,0.030768876768109688
7.5,35.0,4.18,5.4154,0.2614499846539137,0.04016582849802168
8.0,35.0,4.18,5.4154,0.26015270783800665,0.050777643143329936
5.0,36.0,4.18,5.4154,0.2829662193947197,0.006659749232576853
5.5,36.0,4.18,5.4154,0.278088954205245,0.010962923577740136
6.0,36.0,4.18,5.4154,0.27474699064041325,0.016687834282125138
6.5,36.0,4.18,5.4154,0.2724146202185993,0.023893600917179254
7.0,36.0,4.18,5.4154,0.2707670132762359,0.032581592820701166
7.5,36.0,4.18,5.4154,0.2695957203046562,0.042707630403408366
8.0,36.0,4.18,5.4154,0.26876270020536586,0.05419432721509085
