input_set,s0_window_label,M2,s0,theta_deg,gA_star,width_A_keV,g1_2460_axial_only,Gamma2460_axial_only_keV,g2_2536_axial_only,Gamma2536_axial_only_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral
project_inputs_positive_chi,rounded_final,3.0,7.5,35.3,-0.2069487601259661,1.364418600420899,-0.07799146884489305,0.1937832222040934,-0.10026965443493062,0.5409320957142446,-0.011413494972169142,0.01198677400921224,-0.005462175903188852,-0.033317398026402975,-0.0016315795387013901,0.008719093287177888,-0.00042730208744382877,0.008719093287177777,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.25,7.5,35.3,-0.18685652340516395,1.112342426401112,-0.07041943481443624,0.15798179496807851,-0.09053467640658497,0.44099495541867234,-0.011791944614690898,0.013305353874922392,-0.005692765210761265,-0.03661568103039648,-0.0015080020554787644,0.009582247041758066,-0.00044534427649281066,0.009582247041757967,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.5,7.5,35.3,-0.17125383267130828,0.9343349044514434,-0.06453934755261687,0.13270005872574672,-0.0829749480603676,0.37042278506609144,-0.012130497642289326,0.014566963967351538,-0.00589823187422472,-0.03975274438379357,-0.0013914911151011857,0.010403209951418049,-0.0004614141393573967,0.010403209951417965,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.75,7.5,35.3,-0.15883553392305597,0.8037431935955524,-0.05985934193508443,0.11415261110593762,-0.07695810348783154,0.3186489029052985,-0.012435377771556068,0.015770311020510127,-0.006082358426591934,-0.04273016224145149,-0.0012821464051622007,0.011182393969187238,-0.0004758096572349714,0.011182393969187169,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.0,7.5,35.3,-0.1487469142230162,0.7048844073112995,-0.05605730770910164,0.10011207094953792,-0.07207002196256562,0.27945573269491636,-0.012711539581307146,0.0169157531971626,-0.00624823012167493,-0.045552502408854466,-0.0011797755278833172,0.011920994480194538,-0.0004887736804460593,0.011920994480194486,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.25,7.5,35.3,-0.1404077384808941,0.628064233601164,-0.05291457535019345,0.08920159172619983,-0.06802957122767947,0.2489999051759005,-0.012962982809027501,0.018004709628444568,-0.006398381263508861,-0.048226121219899346,-0.0010840342558814872,0.012620674923708754,-0.0005005055455998397,0.012620674923708714,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.5,7.5,35.3,-0.1334118741204161,0.5670364066701522,-0.050278088245940156,0.0805340398889872,-0.06463997420147935,0.22480505008634444,-0.013192976722028911,0.019039254296896103,-0.006534908578693237,-0.050758354642473746,-0.0009945079491838938,0.013283355107162404,-0.0005111700628989166,0.01328335510716238,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.75,7.5,35.3,-0.12746747857902505,0.5176315798053526,-0.04803786153771572,0.07351725886640156,-0.06175982895974404,0.20521820443198927,-0.01340422324790325,0.020021838609215203,-0.006659559051807978,-0.053156980874119394,-0.0009107585981003286,0.013911070568562363,-0.0005209044702154618,0.013911070568562355,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.0,7.5,35.3,-0.12235999486076499,0.4769807738535914,-0.046113036489012764,0.06774377838167674,-0.05928517954821701,0.1891019438876256,-0.013598977612998912,0.020955103420076254,-0.006773798208949616,-0.05542986836239908,-0.0008323515568072016,0.01450588046415699,-0.0005298238332332555,0.014505880464156995,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.25,7.5,35.3,-0.11792849940194057,0.4430569141647263,-0.044442966855337177,0.06292570067584664,-0.05713805618291719,0.1756526223153801,-0.01377913896427849,0.021841753085733422,-0.006878863480894348,-0.057584750142037844,-0.0007588701914424366,0.015069808512938591,-0.0005380252615144836,0.015069808512938612,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.5,7.5,35.3,-0.11405014629317477,0.41439419888049406,-0.04298135647667297,0.05885484344538701,-0.05525893825171586,0.16428911360714527,-0.013946319425851757,0.022684472460156275,-0.006975806165083423,-0.059629083965205346,-0.0006899233208611963,0.015604806393031275,-0.000545591220920655,0.015604806393031313,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,5.75,7.5,35.3,-0.1106296749666187,0.3899107836829078,-0.041692305105997585,0.05537755642651659,-0.05360167063769581,0.15458251396903797,-0.014101897415922372,0.023485873563461865,-0.007065524641686506,-0.061569970448217014,-0.0006251483775828616,0.01611273232085403,-0.0005525921536059628,0.016112732320854077,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,6.0,7.5,35.3,-0.10759217252727374,0.36879355916651924,-0.04054758079491564,0.05237835676042387,-0.05212995696445132,0.14621046120620218,-0.014247059307113123,0.02424846269410475,-0.007148790845009814,-0.06341411018734772,-0.0005642120611516513,0.016595339828418983,-0.0005590885645467183,0.016595339828419046,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.0,8.0,35.3,-0.20761878480495946,1.373267883189765,-0.07824397680312006,0.19504005242365877,-0.10059429104055535,0.5444404479693769,-0.01145044771013319,0.012348397118622234,-0.005462175903188852,-0.034153680746787034,-0.0016315795387013901,0.008937946723682897,-0.00042730208744382877,0.008937946723682783,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.25,8.0,35.3,-0.18757075857423372,1.1208622517117253,-0.0706886041001209,0.15919183358877553,-0.09088073363130238,0.44437269225029247,-0.011837017815251698,0.013746395382128311,-0.005692765210761265,-0.03763563578407313,-0.0015080020554787644,0.009849167064713034,-0.00044534427649281066,0.009849167064712932,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.5,8.0,35.3,-0.1720082853998989,0.9425853971673689,-0.06482367337530362,0.13387184505493496,-0.08334049127182355,0.3736937433439424,-0.01218393812243877,0.015089829324496738,-0.00589823187422472,-0.04096193610115742,-0.0013914911151011857,0.010719652891452653,-0.0004614141393573967,0.010719652891452568,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,3.75,8.0,35.3,-0.15962667558154484,0.8117698399904936,-0.06015749448247044,0.11529260538732958,-0.07734142301416004,0.3218311159406773,-0.012497316968353746,0.016376278174576993,-0.006082358426591934,-0.04413154805984155,-0.0012821464051622007,0.011549133702949996,-0.0004758096572349714,0.011549133702949924,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.0,8.0,35.3,-0.1495716244520525,0.7127223773295543,-0.05636811103111622,0.10122526823753143,-0.07246960594472665,0.28256314382725656,-0.012782017256587092,0.017605204487746134,-0.00624823012167493,-0.047146967971828116,-0.0011797755278833172,0.012338262778749623,-0.0004887736804460593,0.012338262778749567,-0.1562500000000002,-4.453125000000227
project_inputs_positive_chi,rounded_final,4.25,8.0,35.3,-0.1412632530298208,0.6357412328094812,-0.05323698770119451,0.09029192693783288,-0.06844408034642326,0.25204349844652185,-0.01304196720483499,0.018777328891126103,-0.006398381263508861,-0.05001293652469594,-0.0010840342558814872,0.013088280746862538,-0.0005005055455998397,0.013088280746862496,-0.1562500000000002,-4.453125000000227
