M2,s0_root,s0,theta_deg,GA,GB,GB_hard,GB_soft2p,GB_3p,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
8.0,6.05,36.6025,35.3,0.5077609443458806,0.608847785172373,0.21256657888126035,0.39560067522161974,0.0006805310694929023,0.7903170971706595,0.06257545870440712,132.52308479159393,0.8308007228824145,0.22683827574263177,0.008625756399383675,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.06257545870440712,0.8308007228824145
8.5,6.05,36.6025,35.3,0.4746012403603131,0.5762541098777059,0.20604047317028482,0.3695992975784435,0.0006143391289775584,0.7445545857934543,0.05434708158155832,117.62018759132313,0.6266733658743932,0.22683827574263177,0.010531491208837042,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.05434708158155832,0.6266733658743932
9.0,6.05,36.6025,35.3,0.44780305060199826,0.5495857671184593,0.20058663249612163,0.34843820787306284,0.0005609267492748626,0.7073040105309729,0.04788657676679969,106.14536218404305,0.4865375525405279,0.22683827574263177,0.012587434021141632,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04788657676679969,0.4865375525405279
9.5,6.05,36.6025,35.3,0.42577537895394374,0.5274177934911733,0.1959695670232685,0.3309311411192889,0.0005170853486159032,0.6764830359485945,0.042718898490539,97.09628254746008,0.38719422728496294,0.22683827574263177,0.014775528247188446,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.042718898490539,0.38719422728496294
10.0,6.05,36.6025,35.3,0.40740210740568444,0.5087378183376943,0.1920166272336588,0.3162406254753657,0.0004805656286697613,0.6506204709950467,0.03851814699298667,89.81403943816028,0.3147890046853958,0.22683827574263177,0.017078136002043304,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03851814699298667,0.3147890046853958
10.5,6.05,36.6025,35.3,0.39188059753622734,0.49280922646269115,0.18859864456662653,0.30376083035750967,0.00044975153855489596,0.6286513255888015,0.03505491759438617,83.85103996896478,0.2607274055581572,0.22683827574263177,0.019478449063265676,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03505491759438617,0.2607274055581572
11.0,6.05,36.6025,35.3,0.3786209700091635,0.4790847327550973,0.1856172420315324,0.29304403405381385,0.00042345666975104006,0.6097880735062163,0.03216404046882432,78.89448290402461,0.21949770400594487,0.22683827574263177,0.02196074199345691,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03216404046882432,0.21949770400594487
11.5,6.05,36.6025,35.3,0.36718131684708777,0.46715015905228036,0.182996299579108,0.2837530662216726,0.00040079325149972364,0.5934373284857569,0.029724193913714614,74.72028226652225,0.18746014723571158,0.22683827574263177,0.024510509213162727,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.029724193913714614,0.18746014723571158
12.0,6.05,36.6025,35.3,0.35722489601186425,0.4566868912425003,0.18067608117445552,0.2756297244687081,0.0003810855993366722,0.579144468619915,0.027644663687279247,71.16436976684572,0.16214792813140091,0.22683827574263177,0.027114519291306094,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.027644663687279247,0.16214792813140091
12.5,6.05,36.6025,35.3,0.3484911675281549,0.4474462211474641,0.1786091101683377,0.26847329941106446,0.0003638115680619466,0.5665559588042195,0.025856531238999614,68.10427990521838,0.14184998889339015,0.22683827574263177,0.02976081205147091,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.025856531238999614,0.14184998889339015
13.0,6.05,36.6025,35.3,0.3407757725882544,0.43923144272258613,0.1767572189609252,0.2621256616600612,0.0003485621015997872,0.5553931695463458,0.02430667975166939,65.44701609202099,0.12535453786688883,0.22683827574263177,0.032438657688443145,0.06801820716962186,3.15,-0.034836479999999996,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.02430667975166939,0.12535453786688883
