sector,state,photon_input,mixing_input,status,normalization_input,residue_1_GeV,residue_1_p16_GeV,residue_1_p84_GeV,residue_2_GeV,residue_2_p16_GeV,residue_2_p84_GeV,effective_mixed_residue_GeV,effective_mixed_residue_p16_GeV,effective_mixed_residue_p84_GeV,G_GeV_minus1_median,G_GeV_minus1_p16,G_GeV_minus1_p84,Gamma_keV_median,Gamma_keV_minus,Gamma_keV_plus,Gamma_keV_p16,Gamma_keV_p84,comment
Ds,Ds1(2460)->Ds gamma,chi_s(1 GeV)=3.15+-0.30 GeV^-2 (Rohrwild/BBK),theta=35.3 deg,Stage-3 residue calibrated,"f1=0.344 [0.329,0.363] GeV; f2=0.380 [0.339,0.423] GeV",0.344,0.329,0.363,0.380,0.339,0.423,,,,-0.424,-0.484,-0.360,37.7,10.5,11.5,27.2,49.2,Legacy photon input; f1 uses working Stage-3 anchor and f2 is predicted
Ds,Ds1(2536)->Ds gamma,chi_s(1 GeV)=3.15+-0.30 GeV^-2 (Rohrwild/BBK),theta=35.3 deg,Stage-3 residue calibrated,"f1=0.344 [0.329,0.363] GeV; f2=0.380 [0.339,0.423] GeV",0.344,0.329,0.363,0.380,0.339,0.423,,,,+0.0118,+0.00143,+0.0233,0.045,0.040,0.124,0.0046,0.169,Legacy photon input; cancellation sensitive after f2 residue normalization
Ds,Ds1(2460)->Ds gamma,f_gamma_s^perp(1 GeV)=-55.1+-1.9 MeV (Bacchio et al.),theta=35.3 deg,Stage-3 residue calibrated,"f1=0.345 [0.330,0.364] GeV; f2=0.379 [0.338,0.423] GeV",0.345,0.330,0.364,0.379,0.338,0.423,,,,-0.277,-0.312,-0.243,16.1,3.7,4.4,12.4,20.5,Lattice-normalized leading-twist photon input; f1 uses working Stage-3 anchor
Ds,Ds1(2536)->Ds gamma,f_gamma_s^perp(1 GeV)=-55.1+-1.9 MeV (Bacchio et al.),theta=35.3 deg,Stage-3 residue calibrated,"f1=0.345 [0.330,0.364] GeV; f2=0.379 [0.338,0.423] GeV",0.345,0.330,0.364,0.379,0.338,0.423,,,,+0.0403,+0.0194,+0.0596,0.504,0.377,0.600,0.127,1.104,Lattice-normalized; cancellation sensitive after f2 residue normalization
Bs,Bs1(5830)->Bs gamma,chi_s(1 GeV)=3.15+-0.30 GeV^-2 (Rohrwild/BBK),theta=35.3 deg,Stage-3 physical-current diagonalized,"f1=0.436 [0.380,0.486] GeV; f2=0.218 [0.138,0.292] GeV",0.436,0.380,0.486,0.218,0.138,0.292,,,,-0.0793,-0.130,-0.0537,1.334,0.722,2.268,0.612,3.602,PZ basis inputs plus mixed-current diagonalization closure
Bs,Bs1(5830)->Bs gamma,f_gamma_s^perp(1 GeV)=-55.1+-1.9 MeV (Bacchio et al.),theta=35.3 deg,Stage-3 physical-current diagonalized,"f1=0.443 [0.384,0.492] GeV; f2=0.203 [0.121,0.291] GeV",0.443,0.384,0.492,0.203,0.121,0.291,,,,-0.0401,-0.0695,-0.0274,0.342,0.182,0.684,0.160,1.026,PZ basis inputs plus mixed-current diagonalization closure
Bs,Bs1(5830)->Bs gamma,chi_s(1 GeV)=3.15+-0.30 GeV^-2 (Rohrwild/BBK),25 <= theta <= 45 deg,Stage-3 physical-current diagonalized,"f1=0.426 [0.368,0.469] GeV; f2=0.246 [0.174,0.312] GeV",0.426,0.368,0.469,0.246,0.174,0.312,,,,-0.0380,-0.103,+0.0101,0.349,0.323,1.908,0.026,2.257,PZ basis inputs plus mixed-current diagonalization closure; mixing-angle scan
Bs,Bs1(5830)->Bs gamma,f_gamma_s^perp(1 GeV)=-55.1+-1.9 MeV (Bacchio et al.),25 <= theta <= 45 deg,Stage-3 physical-current diagonalized,"f1=0.421 [0.371,0.486] GeV; f2=0.249 [0.170,0.307] GeV",0.421,0.371,0.486,0.249,0.170,0.307,,,,+0.0137,-0.0612,+0.0657,0.493,0.441,1.239,0.051,1.732,PZ basis inputs plus mixed-current diagonalization closure; mixing-angle scan
Bs,Bs1_low(5750)->Bs gamma,chi_s(1 GeV)=3.15+-0.30 GeV^-2 (Rohrwild/BBK),theta=35.3 deg,Stage-3 physical-current diagonalized,"f1=0.428 [0.367,0.479] GeV; f2=0.226 [0.126,0.303] GeV",0.428,0.367,0.479,0.226,0.126,0.303,,,,+0.284,+0.227,+0.360,9.497,3.530,7.453,5.967,16.950,Lower Bs1 diagnostic counterpart; not experimentally established
Bs,Bs1_low(5750)->Bs gamma,f_gamma_s^perp(1 GeV)=-55.1+-1.9 MeV (Bacchio et al.),theta=35.3 deg,Stage-3 physical-current diagonalized,"f1=0.440 [0.381,0.490] GeV; f2=0.216 [0.132,0.285] GeV",0.440,0.381,0.490,0.216,0.132,0.285,,,,+0.391,+0.331,+0.457,18.37,5.91,9.71,12.46,28.08,Lower Bs1 diagnostic counterpart; preferred photon normalization
