fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_hard_candidate,GB_soft2p_tensor_DA,GB_stage1_candidate,hard_qcd_side,G2460_candidate,G2536_candidate,Gamma2460_keV_candidate,Gamma2536_keV_candidate,fB
fB_equal_fT,3.0,2.5,6.25,-0.3143879887429884,-0.7657846555855715,0.3204266853878664,-0.4453579701977051,-0.06552070799308397,-0.5451448768298783,0.0007696431758547062,62.468146438776024,0.00018381417935776974,0.256
fB_converted_fT_M_over_msum,3.0,2.5,6.25,-0.3143879887429884,-0.4243807625790339,0.17757331660242398,-0.24680744597660992,-0.06552070799308397,-0.38310033048292125,-0.11396429107064698,30.850329215935368,4.0303034859614195,0.4619457079970653
fB_equal_fT,3.25,2.5,6.25,-0.31814548367249346,-0.7488861605240041,0.3037152745390171,-0.44517088598498705,-0.07276806009220518,-0.5471634874649655,-0.0024050977193708634,62.93162811176271,0.001795004809929927,0.256
fB_converted_fT_M_over_msum,3.25,2.5,6.25,-0.31814548367249346,-0.415015993817531,0.16831222573558863,-0.2467037680819424,-0.07276806009220518,-0.3851870121494196,-0.1170908349890653,31.187317365124102,4.254474938158081,0.4619457079970653
fB_equal_fT,3.5,2.5,6.25,-0.3209827833460451,-0.735217565532848,0.29043784189296334,-0.44477972363988466,-0.07967106853476695,-0.5484838004203261,-0.004946760780767667,63.235704292956044,0.007593499724387292,0.256
fB_converted_fT_M_over_msum,3.5,2.5,6.25,-0.3209827833460451,-0.40744116357848004,0.16095416893682007,-0.24648699464165996,-0.07967106853476695,-0.38664965044529676,-0.119531726092204,31.42461701302927,4.433702467768167,0.4619457079970653
fB_equal_fT,3.75,2.5,6.25,-0.3231896655871893,-0.7239550750846059,0.2796575300086069,-0.444297545075999,-0.08622665179103486,-0.5493655400983699,-0.007026510894101445,63.43918248931076,0.015320735381519528,0.256
fB_converted_fT_M_over_msum,3.75,2.5,6.25,-0.3231896655871893,-0.4011997427689846,0.15497996072442818,-0.24621978204455644,-0.08622665179103486,-0.38770683192941935,-0.12148725648264977,31.596694967995525,4.579959239130173,0.4619457079970653
fB_equal_fT,4.0,2.5,6.25,-0.3249493285602624,-0.7145289579295887,0.27074482576366704,-0.44378413216592166,-0.09244091507821293,-0.549963359188559,-0.008759317556843726,63.57732653602638,0.02380897540577639,0.256
fB_converted_fT_M_over_msum,4.0,2.5,6.25,-0.3249493285602624,-0.3959759990477858,0.15004073897779147,-0.24593526006999433,-0.09244091507821293,-0.388491457516111,-0.12308779677315226,31.724712631768927,4.701432008164714,0.4619457079970653
fB_equal_fT,4.25,2.5,6.25,-0.3263821576416526,-0.7065335994328927,0.26326242575461545,-0.4432711736782773,-0.09832557222071124,-0.5503726856937615,-0.010225120203403881,63.67200036827131,0.03244419537084219,0.256
fB_converted_fT_M_over_msum,4.25,2.5,6.25,-0.3263821576416526,-0.3915451498381918,0.14589415991199056,-0.2456509899262012,-0.09832557222071124,-0.3890874251751437,-0.12442145011661035,31.822122263196007,4.803863748247018,0.4619457079970653
fB_equal_fT,4.5,2.5,6.25,-0.32756993550557467,-0.6996729647518177,0.25689783413577205,-0.4427751306160457,-0.10389555997225614,-0.5506542127991172,-0.011481152632348779,63.737156140090484,0.040904505312447346,0.256
fB_converted_fT_M_over_msum,4.5,2.5,6.25,-0.32756993550557467,-0.3877431392383523,0.14236704530476002,-0.24537609393359228,-0.10389555997225614,-0.38954943871695447,-0.12554969102526375,31.89774012900156,4.891380638844047,0.4619457079970653
fB_equal_fT,4.75,2.5,6.25,-0.3285698471944077,-0.6937262978916644,0.25142224298726884,-0.44230405490439556,-0.10916746063097973,-0.550847556796168,-0.01256943284000489,63.78192238243838,0.0490265719344124,0.256
fB_converted_fT_M_over_msum,4.75,2.5,6.25,-0.3285698471944077,-0.38444762920363423,0.1393325949142701,-0.24511503428936413,-0.10916746063097973,-0.38991418472114925,-0.12651661184711704,31.95750158151938,4.967012688080868,0.4619457079970653
fB_equal_fT,5.0,2.5,6.25,-0.32942290194456664,-0.6885258541317832,0.24666454154611356,-0.4418613125856697,-0.1141584707253449,-0.5509791623385325,-0.013521484912519033,63.81240289239377,0.056734723084444084,0.256
fB_converted_fT_M_over_msum,5.0,2.5,6.25,-0.32942290194456664,-0.38156565935418596,0.13669598297513832,-0.24486967637904763,-0.1141584707253449,-0.3902068830989124,-0.12735460383429736,32.005498910697355,5.033029339587961,0.4619457079970653
fB_equal_fT,5.25,2.5,6.25,-0.3301591722180165,-0.6839420392836797,0.24249437430709408,-0.4414476649765856,-0.11888573791542052,-0.5510670283668322,-0.014361412183857336,63.83275716296616,0.06400213442197701,0.256
fB_converted_fT_M_over_msum,5.25,2.5,6.25,-0.3301591722180165,-0.37902541148349467,0.13438496937612082,-0.24464044210737385,-0.11888573791542052,-0.3904452557839847,-0.12808796645257509,32.044614402234686,5.091160930415038,0.4619457079970653
fB_equal_fT,5.5,2.5,6.25,-0.33080115175968633,-0.6798732478054502,0.23881079541186334,-0.4410624523935869,-0.12336594572063299,-0.5511236146705272,-0.015107953847970756,63.84586716610082,0.07082905746435052,0.256
fB_converted_fT_M_over_msum,5.5,2.5,6.25,-0.33080115175968633,-0.3767705780682368,0.13234361217579577,-0.24442696589244106,-0.12336594572063299,-0.3906420025932421,-0.1287352689470177,32.076917338530095,5.142748106752672,0.4619457079970653
fB_equal_fT,5.75,2.5,6.25,-0.331365966027381,-0.6762387623941362,0.23553448735196114,-0.440704275042175,-0.1276150645676153,-0.5511576749010725,-0.015775895516644822,63.85375894244284,0.0772303861372794,0.256
fB_converted_fT_M_over_msum,5.75,2.5,6.25,-0.331365966027381,-0.37475642738085274,0.130527955381469,-0.24422847199938374,-0.1276150645676153,-0.39080638649666466,-0.12931093631179366,32.103919239415795,5.188844744563313,0.4619457079970653
fB_equal_fT,6.0,2.5,6.25,-0.3318668622526693,-0.6729736961175434,0.23260230975320798,-0.4403713863643355,-0.1316482139116941,-0.5511754386405834,-0.01637705801539241,63.857875005308955,0.08322847530176823,0.256
fB_converted_fT_M_over_msum,6.0,2.5,6.25,-0.3318668622526693,-0.37294700053190144,0.12890300800716503,-0.2440439925247364,-0.1316482139116941,-0.3909452725656145,-0.12982633942094796,32.12674168850778,5.230290216238779,0.4619457079970653
fB_equal_fT,3.0,2.55,6.5024999999999995,-0.34063437055481355,-0.7989502317525216,0.3261463827240981,-0.47280384902842343,-0.06835836217642023,-0.5827111620788566,-0.004791205284135569,71.37422805594939,0.007123439198449068,0.256
fB_converted_fT_M_over_msum,3.0,2.55,6.5024999999999995,-0.34063437055481355,-0.44276038458169814,0.18074304519330991,-0.2620173393883882,-0.06835836217642023,-0.4106803680798298,-0.12659579699681714,35.452154627824115,4.973232214869408,0.4619457079970653
fB_equal_fT,3.25,2.55,6.5024999999999995,-0.3453606965250696,-0.7832755690611471,0.3096459666773566,-0.47362960238379054,-0.07610962344172045,-0.5861162339295408,-0.00817136969917448,72.2108156354996,0.020720006309519718,0.256
fB_converted_fT_M_over_msum,3.25,2.55,6.5024999999999995,-0.3453606965250696,-0.4340738364018473,0.17159888293605896,-0.26247495346578836,-0.07610962344172045,-0.41378498762738014,-0.13018869350046433,35.990195847399576,5.2595271468135385,0.4619457079970653
