fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,False,3.0,2.5,6.25,-0.3143879887429884,0.3204266853878664,-1.5858000506455492e-15,0.3204266853878664,0.0798407665000955,-0.44174485869016444,1.3399362763866733,60.554046622717486,0.256
fB_equal_fT,True,3.0,2.5,6.25,-0.3143879887429884,0.3204266853878664,-1.5858000506455492e-15,0.3204266853878648,0.07984076650009422,-0.44174485869016356,1.3399362763866305,60.55404662271722,0.256
fB_converted_fT_M_over_msum,False,3.0,2.5,6.25,-0.3143879887429884,0.17757331660242398,-8.788149904573626e-16,0.17757331660242398,-0.036747237635287866,-0.3591959503686279,0.2838468933745953,40.03713819641728,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.0,2.5,6.25,-0.3143879887429884,0.17757331660242398,-8.788149904573626e-16,0.1775733166024231,-0.03674723763528859,-0.3591959503686274,0.2838468933746064,40.03713819641715,0.4619457079970653
fB_equal_fT,False,3.25,2.5,6.25,-0.31814548367249346,0.3037152745390171,-1.4553123585022818e-15,0.3037152745390171,0.06403065882947934,-0.4351546753734563,0.8618083358948923,58.76076912740006,0.256
fB_equal_fT,True,3.25,2.5,6.25,-0.31814548367249346,0.3037152745390171,-1.4553123585022818e-15,0.30371527453901564,0.06403065882947814,-0.4351546753734555,0.8618083358948602,58.76076912739985,0.256
fB_converted_fT_M_over_msum,False,3.25,2.5,6.25,-0.31814548367249346,0.16831222573558863,-8.065016241669486e-16,0.16831222573558863,-0.0464768591104571,-0.3569109912576233,0.45405482126146585,39.52938054080589,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.25,2.5,6.25,-0.31814548367249346,0.16831222573558863,-8.065016241669486e-16,0.16831222573558782,-0.04647685911045776,-0.3569109912576228,0.4540548212614788,39.52938054080578,0.4619457079970653
fB_equal_fT,False,3.5,2.5,6.25,-0.3209827833460451,0.29043784189296334,-1.3520459947515797e-15,0.29043784189296334,0.05155489169825475,-0.42979783660460336,0.5586946432797155,57.32296077206264,0.256
fB_equal_fT,True,3.5,2.5,6.25,-0.3209827833460451,0.29043784189296334,-1.3520459947515797e-15,0.290437841892962,0.05155489169825367,-0.4297978366046026,0.5586946432796922,57.32296077206243,0.256
fB_converted_fT_M_over_msum,False,3.5,2.5,6.25,-0.3209827833460451,0.16095416893682007,-7.492737104478158e-16,0.16095416893682007,-0.05412160110289965,-0.35497470895371563,0.6157097370614334,39.10164128519976,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.5,2.5,6.25,-0.3209827833460451,0.16095416893682007,-7.492737104478158e-16,0.16095416893681933,-0.05412160110290026,-0.35497470895371525,0.6157097370614473,39.10164128519967,0.4619457079970653
