M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3688626556038538,-0.24554256953421044,28.599874466004234,18.70913704688256,20.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.36971751188416974,-0.24425350265404303,28.732591142653682,18.51321157022712,20.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3705678632732791,-0.24296145962202753,28.864913230517757,18.31786861264773,20.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.37141369940991864,-0.24166645618130045,28.996834280404595,18.123117694884513,20.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.37225500998784183,-0.24036850811107005,29.128347862668313,17.928968308822476,20.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.37309178475594484,-0.23906763122642408,29.25944756752246,17.735429917028792,21.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3739240135183912,-0.23776384137813666,29.390127005352383,17.542511952291623,21.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3747516861347361,-0.23645715445247584,29.52037980702664,17.35022381716042,21.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3755747925200499,-0.2351475863710093,29.650199624207435,17.158574883487585,21.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.37639332264504094,-0.23383515309041092,29.77958012966002,16.967574491971803,21.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3772072665361781,-0.23251987060226595,29.9085150175611,16.777231951702664,22.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3780166142758118,-0.23120175493287654,30.03699800380612,16.587556539707062,22.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3788213560022954,-0.22988082214306607,30.165022826315624,16.39855750049699,22.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3796214819101048,-0.22855708832798377,30.292583245340346,16.210244045618975,22.6
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.38041698224995835,-0.22723056961690835,30.41967304376543,16.022625353205125,22.8
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.38120784732893553,-0.22590128217305183,30.546286027413434,15.835710567525846,23.0
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3819940675105948,-0.2245692421933621,30.6724160253461,15.649508798544074,23.2
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.38277563321509145,-0.223234465908326,30.79805689016532,15.464029121471343,23.4
4.5,2.55,-0.3568929990172252,-0.2626370107297916,-0.3835525349192941,-0.2218969695817713,30.92320249831258,15.279280576325439,23.6
