M2,s0_root,GA,GB,G2460,G2536,Gamma2460_keV,Gamma2536_keV
3.0,2.5,-0.3123740953170627,-0.24603036204016449,-0.3813023794008737,-0.11276972082079464,30.561437665885585,3.94625526389076
3.125,2.5,-0.3144799515800055,-0.24603228843778335,-0.3825208367037811,-0.11448727609273632,30.7570687760136,4.067378690569819
3.25,2.5,-0.31629730363853326,-0.24599062656334914,-0.38353700562519155,-0.11599456005389833,30.920698508684172,4.17518196358735
3.375,2.5,-0.3178788616989432,-0.24591823701858748,-0.3843918411801958,-0.11732715988825931,31.058685551989168,4.2716659164460795
3.5,2.5,-0.3192657468638789,-0.2458244563705651,-0.3851167254348251,-0.11851324086696721,31.175936638314774,4.358468511481721
3.625,2.5,-0.32049041059865735,-0.24571610462001017,-0.38573597677469396,-0.11957534686130133,31.27627640890558,4.436939044482469
3.75,2.5,-0.32157873533178094,-0.24559818608118694,-0.3862686357674336,-0.12053170971293262,31.36271424941715,4.508196085780686
3.875,2.5,-0.32255156711595667,-0.2454743830893086,-0.3867297537557259,-0.12139721480360155,31.437639016790055,4.573172775940031
4.0,2.5,-0.32342584840426253,-0.24534740773308297,-0.3871313345027997,-0.12218412230499551,31.502962696800395,4.632652351278081
4.125,2.5,-0.32421546532132334,-0.2452192550312838,-0.3874830304214568,-0.12290261236859204,31.560227480504786,4.687296131478709
4.25,2.5,-0.32493188844603843,-0.2450913868802181,-0.38779266298169934,-0.12356120179708385,31.610686352953962,4.737665683004734
4.375,2.5,-0.32558466245215806,-0.24496486684071628,-0.38806661565799905,-0.12416706577076869,31.655364304775585,4.784240467935227
4.5,2.5,-0.32618178387503105,-0.2448404596643905,-0.38831013345181375,-0.1247262886451854,31.695105229727595,4.827431978381932
4.625,2.5,-0.3267299952015752,-0.2447187052944376,-0.3885275532285556,-0.12524406120706505,31.73060815034805,4.867595121610083
4.75,2.5,-0.32723501575893715,-0.24459997423056792,-0.3887224823237634,-0.12572483711819965,31.762455417221293,4.9050374430642245
4.875,2.5,-0.3277017244272262,-0.24448450918094972,-0.38889793811876616,-0.12617245796527832,31.79113482131038,4.940026639810359
5.0,2.5,-0.3281343053116057,-0.24437245655046047,-0.3890564579171578,-0.12659025395263096,31.817057053731236,4.972796714749234
5.125,2.5,-0.3285363647030068,-0.24426389034564647,-0.38920018604117285,-0.1269811255446003,31.840569582701413,5.003553044225278
5.25,2.5,-0.3289110256125428,-0.24415883038703334,-0.38933094332287027,-0.12734761009450826,31.861967751817478,5.032476572275464
5.375,2.5,-0.329261004661536,-0.24405725622413346,-0.389450282892182,-0.12769193655660419,31.881503708761063,5.059727299195237
5.5,2.5,-0.32958867499392275,-0.24395911778992535,-0.38955953522684705,-0.12801607067447132,31.899393629124244,5.085447196962635
5.625,2.5,-0.3298961180436011,-0.24386434357003064,-0.3896598447337408,-0.12832175250968383,31.9158235923165,5.109762656834959
5.75,2.5,-0.330185166360253,-0.24377284686963613,-0.38975219961077306,-0.12861052777218177,31.930954385557488,5.132786553226385
5.875,2.5,-0.3304574392193223,-0.24368453061908252,-0.3898374563464072,-0.12888377410596616,31.944925450704016,5.154619991376476
6.0,2.5,-0.3307143723761713,-0.24359929105324174,-0.38991635991620455,-0.1291427232464288,31.95785814199366,5.175353793260249
3.0,2.55,-0.3386204771288879,-0.2612402554519428,-0.40888241699778227,-0.12540122674696486,35.14241637038102,4.879819225631154
3.125,2.55,-0.3412257301897496,-0.26153150789871465,-0.410625584412463,-0.12735916925461804,35.44269681266943,5.033390195113975
3.25,2.55,-0.3435125164911094,-0.2617618119471951,-0.4121349811031521,-0.12909241856529732,35.703739547762524,5.171322690151154
3.375,2.55,-0.3455360990564422,-0.2619455074186438,-0.41345424449647594,-0.1306377905347549,35.9326840811175,5.295876110858309
3.5,2.55,-0.34733987880191153,-0.2620932518908322,-0.41461715219258344,-0.13202454771954306,36.135101451127596,5.4089073254489115
3.625,2.55,-0.34895834801348924,-0.2622130478790665,-0.4156501669754624,-0.1332762162563273,36.31538629984592,5.511952580796945
