channel,status,M2,s0,g_GeV_inv,Gamma_keV
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,7.0,53.0,0.022712955119197974,0.11576588893132042
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,7.0,53.0,-0.38186949229338235,34.371418458065385
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,7.0,53.0,-0.06545763442023302,51.596609492499205
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,7.0,53.0,0.395969833291552,1998.3147282643024
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,7.0,54.0,0.02297021493591783,0.1184032009521227
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,7.0,54.0,-0.38465836264362335,34.8752945984778
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,7.0,54.0,-0.06620528130755879,52.781997556332826
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,7.0,54.0,0.39841481469052853,2023.0687683437634
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,7.0,55.0,0.023190709546865862,0.12068725198365984
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,7.0,55.0,-0.3870680677688645,35.31361814703107
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,7.0,55.0,-0.06686478786687017,53.83881519630607
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,7.0,55.0,0.40051307028285865,2044.4339040989098
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,8.0,53.0,0.02159839224524385,0.10468300324373643
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,8.0,53.0,-0.3510908235742865,29.054036956267712
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,8.0,53.0,-0.061085204398086276,44.933744821293615
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,8.0,53.0,0.3591553519719525,1644.009689132246
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,8.0,54.0,0.021911863845147424,0.1077437201708047
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,8.0,54.0,-0.3544858268456739,29.618651323432996
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,8.0,54.0,-0.061990014815659994,46.27474477230915
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,8.0,54.0,0.36211132199063645,1671.1825633712301
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,8.0,55.0,0.02218537622568085,0.11045030550281222
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,8.0,55.0,-0.35747210675664753,30.119783598673294
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,8.0,55.0,-0.06280253600915899,47.49576796038104
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,8.0,55.0,0.364693807003575,1695.104452932426
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,9.0,53.0,0.02091750842406343,0.09818682812132674
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,9.0,53.0,-0.33119141328306684,25.853876173499856
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,9.0,53.0,-0.05832913868780028,40.97053912460696
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,9.0,53.0,0.33515194140417004,1431.6048686403353
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,9.0,54.0,0.021283069475590888,0.10164870518702056
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,9.0,54.0,-0.3351476259729716,26.475234922224637
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,9.0,54.0,-0.059378712683192315,42.458251740690926
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,9.0,54.0,0.3385781667423908,1461.0247939756687
Bc1(6743) -> Bc gamma,hard_QCDSR_baseline,9.0,55.0,0.02160649078828659,0.10476152193530727
Bc1(6750) -> Bc gamma,hard_QCDSR_baseline,9.0,55.0,-0.3386762177116359,27.035657102407338
Bc1(6743) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,9.0,55.0,-0.06033441240190181,43.83598067109473
Bc1(6750) -> Bc* gamma,diagonal_pilot_needs_double_Borel_audit,9.0,55.0,0.3416133529615063,1487.336938296079
