index,normalization,mb,mc,M2,s0,M2_vector,s0_vector,theta_deg,f_Bcstar_used_GeV,theta_sumrule_deg,Pi_1,Pi_2,f1_GeV,f2_GeV,int_A,int_B_1,int_B_2,g1_GeV_inv,g2_GeV_inv,Gamma1_keV,Gamma2_keV
1,projector_diagnostic,4.194625418534631,1.2692957935794456,8.73868006189532,53.83608085406589,5.101625216682708,40.61661661446439,43.363959317133585,0.7796393281607574,43.37502761948099,0.016421378687261574,0.12167318801549722,0.2562630872616105,0.7010455511802018,0.00930396784227118,-0.01244490135183319,-0.012450656085359038,-0.041769802969854324,0.08836699683088246,21.00996868773556,99.52217968207046
2,standard_vector_invariant,4.194625418534631,1.2692957935794456,8.73868006189532,53.83608085406589,5.101625216682708,40.61661661446439,43.363959317133585,0.4501249759844323,43.37502761948099,0.016421378687261574,0.12167318801549722,0.2562630872616105,0.7010455511802018,0.00930396784227118,-0.01244490135183319,-0.012450656085359038,-0.07234742096592907,0.1530561282233664,63.029906063206674,298.56653904621135
3,reference_f_Bcstar_0p384,4.194625418534631,1.2692957935794456,8.73868006189532,53.83608085406589,5.101625216682708,40.61661661446439,43.363959317133585,0.37523670598510805,43.37502761948099,0.016421378687261574,0.12167318801549722,0.2562630872616105,0.7010455511802018,0.00930396784227118,-0.01244490135183319,-0.012450656085359038,-0.08678623547589945,0.18360246996611035,90.69894858346484,429.6321042671355
4,projector_diagnostic,4.169022012739326,1.269755647937216,7.590288856237758,53.76638355991213,5.044307281966003,43.82701855460748,43.30745558242478,0.8661466864755852,43.200458997654515,0.008146240540279244,0.0604343648700144,0.26754750401672317,0.7330568782878123,0.0050289004106607365,-0.006664562072081649,-0.006667714731368463,-0.03979195249934645,0.08589415748773015,19.06738127042057,94.03010826401022
5,standard_vector_invariant,4.169022012739326,1.269755647937216,7.590288856237758,53.76638355991213,5.044307281966003,43.82701855460748,43.30745558242478,0.5000700225943815,43.200458997654515,0.008146240540279244,0.0604343648700144,0.26754750401672317,0.7330568782878123,0.0050289004106607365,-0.006664562072081649,-0.006667714731368463,-0.06892168346123544,0.14877304484207132,57.202143811261735,282.09032479203063
6,reference_f_Bcstar_0p384,4.169022012739326,1.269755647937216,7.590288856237758,53.76638355991213,5.044307281966003,43.82701855460748,43.30745558242478,0.39200335449695783,43.200458997654515,0.008146240540279244,0.0604343648700144,0.26754750401672317,0.7330568782878123,0.0050289004106607365,-0.006664562072081649,-0.006667714731368463,-0.0879218695715786,0.1897864879015644,93.08814595385893,459.0608599050829
7,projector_diagnostic,4.180781701660045,1.2531825234594542,8.875593409345715,54.71325897085934,6.4402938497916535,42.56063605214671,43.301268182247675,0.7671983155466432,43.64917931783883,0.019427851015217615,0.14333795413290262,0.2677719002106297,0.7309023993736173,0.010456174724956725,-0.01409017723994219,-0.014096675245661286,-0.043670634672493665,0.09010021632947228,22.965693216249242,103.46449807284871
8,standard_vector_invariant,4.180781701660045,1.2531825234594542,8.875593409345715,54.71325897085934,6.4402938497916535,42.56063605214671,43.301268182247675,0.4429421540026819,43.64917931783883,0.019427851015217615,0.14333795413290262,0.2677719002106297,0.7309023993736173,0.010456174724956725,-0.01409017723994219,-0.014096675245661286,-0.07563975805153807,0.156058152455593,68.89707964874772,310.39349421854615
9,reference_f_Bcstar_0p384,4.180781701660045,1.2531825234594542,8.875593409345715,54.71325897085934,6.4402938497916535,42.56063605214671,43.301268182247675,0.4469113478137339,43.64917931783883,0.019427851015217615,0.14333795413290262,0.2677719002106297,0.7309023993736173,0.010456174724956725,-0.01409017723994219,-0.014096675245661286,-0.07496797188858574,0.15467213919833037,67.67871056934618,304.9045266493649
10,projector_diagnostic,4.2005915089727575,1.2749193124838256,8.333241811313934,53.78383983196032,7.406649079897021,42.45421483247019,43.308899747328006,0.7052727402334399,43.25369433055112,0.012551204615615284,0.0933741399951393,0.2542692982661522,0.697208361850447,0.0074026795974693775,-0.009853999214264464,-0.009858566976785428,-0.04647914041785457,0.09892862888346728,26.014574512009577,124.73366054024406
11,standard_vector_invariant,4.2005915089727575,1.2749193124838256,8.333241811313934,53.78383983196032,7.406649079897021,42.45421483247019,43.308899747328006,0.4071894064258815,43.25369433055112,0.012551204615615284,0.0933741399951393,0.2542692982661522,0.697208361850447,0.0074026795974693775,-0.009853999214264464,-0.009858566976785428,-0.08050423269585225,0.17134941154929126,78.04372353602871,374.2009816207322
12,reference_f_Bcstar_0p384,4.2005915089727575,1.2749193124838256,8.333241811313934,53.78383983196032,7.406649079897021,42.45421483247019,43.308899747328006,0.3902623506671425,43.25369433055112,0.012551204615615284,0.0933741399951393,0.2542692982661522,0.697208361850447,0.0074026795974693775,-0.009853999214264464,-0.009858566976785428,-0.08399598544455503,0.17878144038467278,84.96060787528037,407.3657870942964
13,projector_diagnostic,4.209883110886215,1.2801761409657,7.491591951695496,53.64061872154707,7.703769205979211,43.76248623475944,43.29618897711402,0.7159154425282491,43.03417669510253,0.006705162290985309,0.05060539674998231,0.25250141463976267,0.6978654146866572,0.004347805001670517,-0.005734798920311636,-0.005737469310117857,-0.04678339052034698,0.10139348508594798,26.35626940045683,131.02669587694774
14,standard_vector_invariant,4.209883110886215,1.2801761409657,7.491591951695496,53.64061872154707,7.703769205979211,43.76248623475944,43.29618897711402,0.41333397346069467,43.03417669510253,0.006705162290985309,0.05060539674998231,0.25250141463976267,0.6978654146866572,0.004347805001670517,-0.005734798920311636,-0.005737469310117857,-0.08103120933157715,0.17561866772533913,79.0688082013705,393.08008763084325
15,reference_f_Bcstar_0p384,4.209883110886215,1.2801761409657,7.491591951695496,53.64061872154707,7.703769205979211,43.76248623475944,43.29618897711402,0.3862365359471472,43.03417669510253,0.006705162290985309,0.05060539674998231,0.25250141463976267,0.6978654146866572,0.004347805001670517,-0.005734798920311636,-0.005737469310117857,-0.08671616641655386,0.1879396561145656,90.55255153180217,450.16999371820947
16,projector_diagnostic,4.187048194496823,1.2592008693621273,8.341718364637146,53.281447758774924,6.287903628568631,42.57443866352487,43.37010483951995,0.7647160124390762,43.32956063861494,0.012962725082741336,0.09756822834230512,0.25768872659671554,0.7107169535078648,0.007747157804659247,-0.010342174677507383,-0.010346974277670165,-0.04419519938951215,0.09334756184730891,23.520727313279515,111.05692540684001
17,standard_vector_invariant,4.187048194496823,1.2592008693621273,8.341718364637146,53.281447758774924,6.287903628568631,42.57443866352487,43.37010483951995,0.4415089956353178,43.32956063861494,0.012962725082741336,0.09756822834230512,0.25768872659671554,0.7107169535078648,0.007747157804659247,-0.010342174677507383,-0.010346974277670165,-0.07654833079327207,0.1616827198822171,70.56218193983854,333.17077622052
18,reference_f_Bcstar_0p384,4.187048194496823,1.2592008693621273,8.341718364637146,53.281447758774924,6.287903628568631,42.57443866352487,43.37010483951995,0.3600611519723161,43.32956063861494,0.012962725082741336,0.09756822834230512,0.25768872659671554,0.7107169535078648,0.007747157804659247,-0.010342174677507383,-0.010346974277670165,-0.0938639907720346,0.19825625418282453,106.09589523575434,500.9489615789525
19,projector_diagnostic,4.208079319206805,1.2576376821903785,7.830876739472434,53.81062155913857,5.441578682881294,42.52220322312357,43.15510375660772,0.7883264614031836,43.28307989674678,0.008974344477227381,0.0686332783568992,0.2561297091900324,0.7123681275513822,0.005644605047061373,-0.007508663756897472,-0.007512119184952884,-0.04434219222438349,0.09179165714947968,23.67744695878532,107.38561498411543
20,standard_vector_invariant,4.208079319206805,1.2576376821903785,7.830876739472434,53.81062155913857,5.441578682881294,42.52220322312357,43.15510375660772,0.4551404947004332,43.28307989674678,0.008974344477227381,0.0686332783568992,0.2561297091900324,0.7123681275513822,0.005644605047061373,-0.007508663756897472,-0.007512119184952884,-0.0768029298516178,0.15898781389384173,71.03234087635592,322.15684495234603
21,reference_f_Bcstar_0p384,4.208079319206805,1.2576376821903785,7.830876739472434,53.81062155913857,5.441578682881294,42.52220322312357,43.15510375660772,0.3832776108278577,43.28307989674678,0.008974344477227381,0.0686332783568992,0.2561297091900324,0.7123681275513822,0.005644605047061373,-0.007508663756897472,-0.007512119184952884,-0.09120314492569699,0.18879733702859972,100.16596519123968,454.28815831631283
22,projector_diagnostic,4.16158224191258,1.2742211033661064,7.281999209081904,53.53367535979195,7.748594603344057,42.4574900474651,43.122160724861914,0.7265699032230746,43.08721250169932,0.00642362608767817,0.04759981991605281,0.2697005632914691,0.7387517672065584,0.004098144555127441,-0.00540804677393373,-0.005410628015313192,-0.04889729474928845,0.10485522643771392,28.791892792706815,140.1263638850005
23,standard_vector_invariant,4.16158224191258,1.2742211033661064,7.281999209081904,53.53367535979195,7.748594603344057,42.4574900474651,43.122160724861914,0.4194853292109224,43.08721250169932,0.00642362608767817,0.04759981991605281,0.2697005632914691,0.7387517672065584,0.004098144555127441,-0.00540804677393373,-0.005410628015313192,-0.0846925988584385,0.18161457962925992,86.37567837812045,420.3790916550016
24,reference_f_Bcstar_0p384,4.16158224191258,1.2742211033661064,7.281999209081904,53.53367535979195,7.748594603344057,42.4574900474651,43.122160724861914,0.3303503302577729,43.08721250169932,0.00642362608767817,0.04759981991605281,0.2697005632914691,0.7387517672065584,0.004098144555127441,-0.00540804677393373,-0.005410628015313192,-0.10754432328291802,0.23061775559853798,139.27575905820603,677.8368422896262
25,projector_diagnostic,4.1950810072590885,1.269883165469124,7.635759161591217,54.61114366847582,6.232187998782823,43.246049951233275,43.405959932338575,0.7656592458734022,43.26485445862108,0.008173416649642128,0.06103901210668206,0.2632558915525519,0.7236607874847597,0.005005813126276981,-0.006642241078457259,-0.0066453355567542656,-0.04377913884538392,0.09483017616215061,23.07995623183173,114.61271554070909
26,standard_vector_invariant,4.1950810072590885,1.269883165469124,7.635759161591217,54.61114366847582,6.232187998782823,43.246049951233275,43.405959932338575,0.4420535717125345,43.26485445862108,0.008173416649642128,0.06103901210668206,0.2632558915525519,0.7236607874847597,0.005005813126276981,-0.006642241078457259,-0.0066453355567542656,-0.07582769279181724,0.16425068320355193,69.23986869549522,343.8381466221275
27,reference_f_Bcstar_0p384,4.1950810072590885,1.269883165469124,7.635759161591217,54.61114366847582,6.232187998782823,43.246049951233275,43.405959932338575,0.38852584534150103,43.26485445862108,0.008173416649642128,0.06103901210668206,0.2632558915525519,0.7236607874847597,0.005005813126276981,-0.006642241078457259,-0.0066453355567542656,-0.08627457564343179,0.1868797199386685,89.63264563284639,445.10660305802924
28,projector_diagnostic,4.165626213025642,1.2769048018210805,7.178198110252683,53.83851554721279,6.73274068436428,40.174261704573915,43.07674251192647,0.6992242809578784,43.07161961956182,0.005883745817583625,0.04355424127594501,0.27003808389105083,0.739373692373129,0.0037720054482200363,-0.004971659695006043,-0.004974031507691739,-0.05087539789877691,0.10901471202484621,31.16852062765391,151.46417078593768
