normalization,M2,s0,channel,g_pert_GeV_inv,Gamma_pert_keV,two_point_max_abs_G2_over_pert,estimated_radiative_shift_abs,estimated_axial_residue_shift_abs,estimated_vector_residue_shift_abs,conservative_abs_delta_g_over_g,conservative_abs_delta_Gamma_over_Gamma,Gamma_shift_envelope_keV
standard_vector_invariant,7.0,53.0,Bc1(6743)->Bc* gamma,-0.0819486446428587,80.86937786121507,0.08564924829720394,0.08564924829720394,0.04282462414860197,0.04282462414860197,0.17129849659440788,0.34259699318881576,27.705605696302467
standard_vector_invariant,7.0,53.0,Bc1(6750)->Bc* gamma,0.17858041987389006,406.4502240380807,0.08564924829720394,0.08564924829720394,0.04282462414860197,0.04282462414860197,0.17129849659440788,0.34259699318881576,139.24862463636697
reference_f_Bcstar_0p384,7.0,53.0,Bc1(6743)->Bc* gamma,-0.09279558625522585,103.69437337372229,0.08564924829720394,0.08564924829720394,0.04282462414860197,0.04282462414860197,0.17129849659440788,0.34259699318881576,35.525380528435655
reference_f_Bcstar_0p384,7.0,53.0,Bc1(6750)->Bc* gamma,0.20221780150388508,521.1688577791238,0.08564924829720394,0.08564924829720394,0.04282462414860197,0.04282462414860197,0.17129849659440788,0.34259699318881576,178.55088361877736
standard_vector_invariant,7.0,54.0,Bc1(6743)->Bc* gamma,-0.0813696356910719,79.7306482125688,0.08295206511228605,0.08295206511228605,0.041476032556143023,0.041476032556143023,0.1659041302245721,0.3318082604491442,26.45528768789512
standard_vector_invariant,7.0,54.0,Bc1(6750)->Bc* gamma,0.17719404638264236,400.16392973637807,0.08295206511228605,0.08295206511228605,0.041476032556143023,0.041476032556143023,0.1659041302245721,0.3318082604491442,132.77769742032118
reference_f_Bcstar_0p384,7.0,54.0,Bc1(6743)->Bc* gamma,-0.09213993813118136,102.23424272252454,0.08295206511228605,0.08295206511228605,0.041476032556143023,0.041476032556143023,0.1659041302245721,0.3318082604491442,33.922166236096444
reference_f_Bcstar_0p384,7.0,54.0,Bc1(6750)->Bc* gamma,0.20064792391225791,513.1082869462856,0.08295206511228605,0.08295206511228605,0.041476032556143023,0.041476032556143023,0.1659041302245721,0.3318082604491442,170.25356811368735
standard_vector_invariant,7.0,55.0,Bc1(6743)->Bc* gamma,-0.0808205475888589,78.65822266878722,0.08059628537693424,0.08059628537693424,0.04029814268846712,0.04029814268846712,0.16119257075386847,0.32238514150773695,25.358242245824048
standard_vector_invariant,7.0,55.0,Bc1(6750)->Bc* gamma,0.1759177696480501,394.42016304581784,0.08059628537693424,0.08059628537693424,0.04029814268846712,0.04029814268846712,0.16119257075386847,0.32238514150773695,127.15520007703067
reference_f_Bcstar_0p384,7.0,55.0,Bc1(6743)->Bc* gamma,-0.09151817126032359,100.85913019299264,0.08059628537693424,0.08059628537693424,0.04029814268846712,0.04029814268846712,0.16119257075386847,0.32238514150773695,32.51548495961519
reference_f_Bcstar_0p384,7.0,55.0,Bc1(6750)->Bc* gamma,0.1992027157782304,505.7433695506723,0.08059628537693424,0.08059628537693424,0.04029814268846712,0.04029814268846712,0.16119257075386847,0.32238514150773695,163.04414775919318
standard_vector_invariant,8.0,53.0,Bc1(6743)->Bc* gamma,-0.07807029526383392,73.39596680054204,0.039972994192471877,0.039972994192471877,0.019986497096235938,0.019986497096235938,0.07994598838494375,0.1598919767698875,11.735426218675702
standard_vector_invariant,8.0,53.0,Bc1(6750)->Bc* gamma,0.16686379544135507,354.8656175935657,0.039972994192471877,0.039972994192471877,0.019986497096235938,0.019986497096235938,0.07994598838494375,0.1598919767698875,56.740165084702184
reference_f_Bcstar_0p384,8.0,53.0,Bc1(6743)->Bc* gamma,-0.08840388818751951,94.11162774866408,0.039972994192471877,0.039972994192471877,0.019986497096235938,0.019986497096235938,0.07994598838494375,0.1598919767698875,15.047694197765697
