variant,M2,s0,theta_deg,f1_GeV,f2_GeV,amp_A,amp_B_low,amp_B_high,g_low_GeV_m2,g_high_GeV_m2,Gamma_low_keV,Gamma_high_keV,ratio_high_over_low
baseline,7.0,53.0,42.97371857761205,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,-0.0833866622610438,0.17562846089220996,83.73243730183286,393.1239281436202,4.69500161241592
radiative_JB_sign_flip,7.0,53.0,42.97371857761205,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,0.48866328676443616,-0.017813182863529783,2875.5437216044465,4.04410795477197,0.0014063802697166115
alternate_rotation_c_s,7.0,53.0,42.97371857761205,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,-0.04897449791062391,-0.17733073844883804,28.88288269092005,400.78156146488345,13.87609283165069
alternate_rotation_c_minus_s,7.0,53.0,42.97371857761205,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,0.48398034447070454,-0.030300891194373094,2820.694166993533,11.701741276035177,0.004148532447425026
swap_eigenstate_assignment,7.0,53.0,42.97371857761205,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,0.17444070801546943,-0.08406888463627152,366.4343964156824,90.07624197903289,0.24581819518070186
swap_assignment_and_JB_flip,7.0,53.0,42.97371857761205,0.26324827046045435,0.7303741773822048,0.0032625608910413465,-0.004290397028387885,-0.004292428737438299,-0.017651845137583853,0.4919986444454358,3.7521549870374566,3085.08760018298,822.2175285511954
baseline,7.0,54.0,43.07714202842204,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,-0.08192042063953008,0.17431841567978895,80.81368286959463,387.281032983925,4.792270556569768
radiative_JB_sign_flip,7.0,54.0,43.07714202842204,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,0.48263290786144214,-0.018143503003287313,2805.0099934306536,4.19548303884055,0.0014957105495760766
alternate_rotation_c_s,7.0,54.0,43.07714202842204,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,-0.049662047924244127,-0.1759314506894722,29.699545356759778,394.4815131689393,13.282409155773596
alternate_rotation_c_minus_s,7.0,54.0,43.07714202842204,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,0.4782153149336224,-0.02990237445121685,2753.895855917819,11.39596322385472,0.004138124250183989
swap_eigenstate_assignment,7.0,54.0,43.07714202842204,0.26814895033179004,0.7406337082681362,0.0032795223902632987,-0.004320268736339123,-0.004322311609808235,0.1731394794761519,-0.08259106160372516,360.98800129668217,86.93722723092021,0.2408313487391229
