topology,current,class,object,power_c_after_photon,power_c_before_photon,power_b_spectator,power_c_spectator,power_b_before_photon,power_b_after_photon,segments,masses,shifts,schwinger_total,phi_p2_pq,phi_p2_P2,mass_term
c_photon,A,single_line_G2,c_after_photon,4,1,1,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,A,single_line_G2,c_before_photon,1,4,1,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,A,single_line_G2,b_spectator,1,1,4,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,A,open_pair_GG,"c_after_photon,c_before_photon",2,2,1,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,A,open_pair_GG,"c_after_photon,b_spectator",2,1,2,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,A,open_pair_GG,"c_before_photon,b_spectator",1,2,2,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,B,single_line_G2,c_after_photon,4,1,1,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,B,single_line_G2,c_before_photon,1,4,1,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,B,single_line_G2,b_spectator,1,1,4,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,B,open_pair_GG,"c_after_photon,c_before_photon",2,2,1,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,B,open_pair_GG,"c_after_photon,b_spectator",2,1,2,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
c_photon,B,open_pair_GG,"c_before_photon,b_spectator",1,2,2,,,,c_after_photon; c_before_photon; b_spectator,m_c; m_c; m_b,k+q; k; k-p,A = a + b + r,Phi = r(a+b)/A p^2 + 2 a r/A (p.q) - (a+b)m_c^2 - r m_b^2,Phi = r b/A p^2 + a r/A P^2 - (a+b)m_c^2 - r m_b^2,(a+b)m_c^2 + r m_b^2
bbar_photon,A,single_line_G2,c_spectator,,,,4,1,1,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,A,single_line_G2,b_before_photon,,,,1,4,1,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,A,single_line_G2,b_after_photon,,,,1,1,4,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,A,open_pair_GG,"c_spectator,b_before_photon",,,,2,2,1,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,A,open_pair_GG,"c_spectator,b_after_photon",,,,2,1,2,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,A,open_pair_GG,"b_before_photon,b_after_photon",,,,1,2,2,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,B,single_line_G2,c_spectator,,,,4,1,1,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
bbar_photon,B,single_line_G2,b_before_photon,,,,1,4,1,c_spectator; b_before_photon; b_after_photon,m_c; m_b; m_b,k; k-p; k-p+q,A = a + b + r,Phi = a(b+r)/A p^2 + 2 r(b+r)/A (p.q) - a m_c^2 - (b+r)m_b^2,Phi = (b+r)(a-r)/A p^2 + r(b+r)/A P^2 - a m_c^2 - (b+r)m_b^2,a m_c^2 + (b+r)m_b^2
