class,photon_topology,current,segment_a,segment_b,term_count,source_file
single_line_G2,c_photon,A,c_after_photon,,15,outputs/step3_ps_g2_single_line_cphoton.txt
single_line_G2,c_photon,A,c_before_photon,,12,outputs/step3_ps_g2_single_line_cphoton.txt
single_line_G2,c_photon,A,b_spectator,,16,outputs/step3_ps_g2_single_line_cphoton.txt
single_line_G2,c_photon,B,c_after_photon,,18,outputs/step3_ps_g2_single_line_cphoton.txt
single_line_G2,c_photon,B,c_before_photon,,12,outputs/step3_ps_g2_single_line_cphoton.txt
single_line_G2,c_photon,B,b_spectator,,16,outputs/step3_ps_g2_single_line_cphoton.txt
single_line_G2,bbar_photon,A,c_spectator,,13,outputs/step3_ps_g2_single_line_bbarphoton.txt
single_line_G2,bbar_photon,A,b_before_photon,,22,outputs/step3_ps_g2_single_line_bbarphoton.txt
single_line_G2,bbar_photon,A,b_after_photon,,25,outputs/step3_ps_g2_single_line_bbarphoton.txt
single_line_G2,bbar_photon,B,c_spectator,,14,outputs/step3_ps_g2_single_line_bbarphoton.txt
single_line_G2,bbar_photon,B,b_before_photon,,25,outputs/step3_ps_g2_single_line_bbarphoton.txt
single_line_G2,bbar_photon,B,b_after_photon,,33,outputs/step3_ps_g2_single_line_bbarphoton.txt
open_pair_GG,c_photon,A,c_after_photon,c_before_photon,7,outputs/step3_ps_g2_open_pair_cphoton.txt
open_pair_GG,c_photon,A,c_after_photon,b_spectator,9,outputs/step3_ps_g2_open_pair_cphoton.txt
open_pair_GG,c_photon,A,c_before_photon,b_spectator,10,outputs/step3_ps_g2_open_pair_cphoton.txt
open_pair_GG,c_photon,B,c_after_photon,c_before_photon,11,outputs/step3_ps_g2_open_pair_cphoton.txt
open_pair_GG,c_photon,B,c_after_photon,b_spectator,18,outputs/step3_ps_g2_open_pair_cphoton.txt
open_pair_GG,c_photon,B,c_before_photon,b_spectator,19,outputs/step3_ps_g2_open_pair_cphoton.txt
open_pair_GG,bbar_photon,A,c_spectator,b_before_photon,13,outputs/step3_ps_g2_open_pair_bbarphoton.txt
open_pair_GG,bbar_photon,A,c_spectator,b_after_photon,12,outputs/step3_ps_g2_open_pair_bbarphoton.txt
open_pair_GG,bbar_photon,A,b_before_photon,b_after_photon,12,outputs/step3_ps_g2_open_pair_bbarphoton.txt
open_pair_GG,bbar_photon,B,c_spectator,b_before_photon,19,outputs/step3_ps_g2_open_pair_bbarphoton.txt
open_pair_GG,bbar_photon,B,c_spectator,b_after_photon,20,outputs/step3_ps_g2_open_pair_bbarphoton.txt
open_pair_GG,bbar_photon,B,b_before_photon,b_after_photon,14,outputs/step3_ps_g2_open_pair_bbarphoton.txt
