topology,current,class,support,refined_borel_support,count
bbar_photon,A,open_pair_GG,"{1,2}",single_physical_virtuality,9
bbar_photon,A,open_pair_GG,"{1,3}",crossed_single_combination,14
bbar_photon,A,open_pair_GG,"{2,3}",no_external_virtuality,6
bbar_photon,A,single_line_G2,"{1,2}",single_physical_virtuality,13
bbar_photon,A,single_line_G2,"{1,3}",crossed_single_combination,23
bbar_photon,A,single_line_G2,{1},no_external_virtuality,1
bbar_photon,A,single_line_G2,"{2,3}",no_external_virtuality,5
bbar_photon,A,single_line_G2,{2},no_external_virtuality,1
bbar_photon,A,single_line_G2,{3},no_external_virtuality,2
bbar_photon,B,open_pair_GG,"{1,2}",single_physical_virtuality,23
bbar_photon,B,open_pair_GG,"{1,3}",crossed_single_combination,34
bbar_photon,B,open_pair_GG,"{2,3}",no_external_virtuality,10
bbar_photon,B,single_line_G2,"{1,2}",single_physical_virtuality,45
bbar_photon,B,single_line_G2,"{1,3}",crossed_single_combination,60
bbar_photon,B,single_line_G2,{1},no_external_virtuality,6
bbar_photon,B,single_line_G2,"{2,3}",no_external_virtuality,18
bbar_photon,B,single_line_G2,{2},no_external_virtuality,6
bbar_photon,B,single_line_G2,{3},no_external_virtuality,5
c_photon,A,open_pair_GG,"{1,2}",no_external_virtuality,6
c_photon,A,open_pair_GG,"{1,3}",single_physical_virtuality,14
c_photon,A,open_pair_GG,"{2,3}",single_physical_virtuality,9
c_photon,A,single_line_G2,"{1,2}",no_external_virtuality,5
c_photon,A,single_line_G2,"{1,3}",single_physical_virtuality,23
c_photon,A,single_line_G2,{1},no_external_virtuality,2
c_photon,A,single_line_G2,"{2,3}",single_physical_virtuality,13
c_photon,A,single_line_G2,{2},no_external_virtuality,1
c_photon,A,single_line_G2,{3},no_external_virtuality,1
c_photon,B,open_pair_GG,"{1,2}",no_external_virtuality,10
c_photon,B,open_pair_GG,"{1,3}",single_physical_virtuality,32
c_photon,B,open_pair_GG,"{2,3}",single_physical_virtuality,22
c_photon,B,single_line_G2,"{1,2}",no_external_virtuality,15
c_photon,B,single_line_G2,"{1,3}",single_physical_virtuality,59
c_photon,B,single_line_G2,{1},no_external_virtuality,5
c_photon,B,single_line_G2,"{2,3}",single_physical_virtuality,47
c_photon,B,single_line_G2,{2},no_external_virtuality,6
c_photon,B,single_line_G2,{3},no_external_virtuality,6
