sector,state,state_label,scan,M2,s0,fixed_s0,g_abs
Ds,Ds1_2460,D_{s1}(2460),M2,3.0,8.5,8.5,0.47641908790812587
Ds,Ds1_2460,D_{s1}(2460),M2,3.05,8.5,8.5,0.4788343729268197
Ds,Ds1_2460,D_{s1}(2460),M2,3.1,8.5,8.5,0.48118809253042316
Ds,Ds1_2460,D_{s1}(2460),M2,3.15,8.5,8.5,0.48348335794895675
Ds,Ds1_2460,D_{s1}(2460),M2,3.2,8.5,8.5,0.4857230267650498
Ds,Ds1_2460,D_{s1}(2460),M2,3.25,8.5,8.5,0.48790973100145607
Ds,Ds1_2460,D_{s1}(2460),M2,3.3,8.5,8.5,0.4900459014642246
Ds,Ds1_2460,D_{s1}(2460),M2,3.35,8.5,8.5,0.4921337889064549
Ds,Ds1_2460,D_{s1}(2460),M2,3.4,8.5,8.5,0.4941754824839327
Ds,Ds1_2460,D_{s1}(2460),M2,3.45,8.5,8.5,0.49617292589709805
Ds,Ds1_2460,D_{s1}(2460),M2,3.5,8.5,8.5,0.4981279315504985
Ds,Ds1_2460,D_{s1}(2460),M2,3.55,8.5,8.5,0.5000421930085917
Ds,Ds1_2460,D_{s1}(2460),M2,3.6,8.5,8.5,0.5019172959834131
Ds,Ds1_2460,D_{s1}(2460),M2,3.65,8.5,8.5,0.5037547280535889
Ds,Ds1_2460,D_{s1}(2460),M2,3.7,8.5,8.5,0.5055558872841149
Ds,Ds1_2460,D_{s1}(2460),M2,3.75,8.5,8.5,0.5073220898911991
Ds,Ds1_2460,D_{s1}(2460),M2,3.8,8.5,8.5,0.5090545770753778
Ds,Ds1_2460,D_{s1}(2460),M2,3.85,8.5,8.5,0.5107545211283927
Ds,Ds1_2460,D_{s1}(2460),M2,3.9,8.5,8.5,0.512423030904364
Ds,Ds1_2460,D_{s1}(2460),M2,3.95,8.5,8.5,0.5140611567331641
Ds,Ds1_2460,D_{s1}(2460),M2,4.0,8.5,8.5,0.5156698948431772
Ds,Ds1_2460,D_{s1}(2460),M2,4.05,8.5,8.5,0.5172501913515369
