sector,state,state_label,scan,M2,s0,g_abs
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.5,0.47641908790812587
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.525,0.4778773637092944
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.55,0.4793259816338905
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.575,0.48076498809144214
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.6,0.4821944295718281
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.625,0.48361435263799596
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.65,0.48502480391884367
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.675,0.486425830102255
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.7,0.48781747792828783
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.725,0.4891997941825186
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.75,0.4905728256895257
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.775,0.4919366193065294
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.8,0.4932912219171643
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.825,0.49463668042539916
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.85,0.4959730417495902
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.875,0.4973003528166711
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.9,0.4986186605564744
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.925,0.4999280118961849
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.95,0.5012284537549188
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,8.975,0.5025200330384291
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.0,0.5038027966339339
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.025,0.5050767914050651
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.05,0.5063420641869368
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.075,0.5075986617813284
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.1,0.5088466309519836
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.125,0.510086018420019
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.15,0.5113168708594459
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.175,0.512539234892798
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.2,0.5137531570868645
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.225,0.5149586839485304
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.25,0.5161558619207142
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.275,0.5173447373784104
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.3,0.518525356624826
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.325,0.5196977658876176
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.35,0.52086201131522
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.375,0.5220181389732694
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.4,0.523166194841116
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.425,0.5243062248084301
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.45,0.5254382746718901
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.475,0.5265623901319606
Ds,Ds1_2460,D_{s1}(2460),s0,3.0,9.5,0.5276786167897553
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.5,0.5073220898911991
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.525,0.5091517666671201
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.55,0.5109723879793331
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.575,0.5127839762789359
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.6,0.5145865543261552
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.625,0.5163801451824802
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.65,0.5181647722029281
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.675,0.5199404590284387
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.7,0.5217072295783957
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.725,0.5234651080432757
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.75,0.5252141188774185
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.775,0.52695428679192
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.8,0.5286856367476465
Ds,Ds1_2460,D_{s1}(2460),s0,3.75,8.825,0.5304081939483629
