sector,state,label,M2,s0,combo,theta_deg,theta_reference_deg,sqrt_s0,f1_GeV,f2_GeV,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,Gamma_keV,two_point_source_theta_deg,normalization_scheme,m_initial,m_sigma,quoted_combo,window_id
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,25.0,35.3,3.0,0.41502353499913397,0.1782801960533204,-0.46593043541980633,-0.09601531631497566,-0.36991511910483066,45.63277820659234,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,25.0,35.3,3.082207001484488,0.41502353499913397,0.1782801960533204,-0.1011936127038599,-0.5293747653218096,0.4281811526179497,3.1776522316313893,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,25.125,35.3,3.0,0.41512269278578134,0.17802748612492864,-0.4658909075224388,-0.09644126176630037,-0.3694496457561384,45.6250358866073,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,25.125,35.3,3.082207001484488,0.41512269278578134,0.17802748612492864,-0.09879157992874005,-0.5295856404487612,0.43079406052002117,3.0285868029761374,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,25.25,35.3,3.0,0.41522010702933443,0.1777801416107663,-0.4658511376969187,-0.09686695161425778,-0.3689841860826609,45.61724684311352,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,25.25,35.3,3.082207001484488,0.41522010702933443,0.1777801416107663,-0.09637933838840412,-0.5297786016488506,0.4333992632604465,2.882491564643344,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,25.375,35.3,3.0,0.41531577710267953,0.17753818965474835,-0.46581112598509533,-0.09729238941356651,-0.36851873657152884,45.60941109644082,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,25.375,35.3,3.082207001484488,0.41531577710267953,0.17753818965474835,-0.09395706190400727,-0.5299534781221309,0.43599641621812363,2.7394225031634343,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2460,D_s1(2460),3.75,9.0,low,25.5,35.3,3.0,0.4154097023900804,0.17730165694919406,-0.4657708724202356,-0.0977175787113777,-0.3680532937088579,45.60152866530961,26.594403607486143,AA_AB_BB_two_point_projection,,,,
Ds,Ds1_2536,D_s1(2536),3.75,9.5,high,25.5,35.3,3.082207001484488,0.4154097023900804,0.17730165694919406,-0.09152492880287155,-0.5301101026758599,0.43858517387298834,2.599435005463714,26.594403607486143,AA_AB_BB_two_point_projection,,,,
