sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,T_A,T_B,T_A_pert,T_A_tw2,T_A_tw3,T_A_tw4,T_A_3p_g,T_A_3p_gamma,T_B_pert,T_B_tw2,T_B_tw3,T_B_tw4,T_B_3p_g,T_B_3p_gamma,chi_effective,fperp_s_used_GeV,transition_scheme,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,physical_normalization,two_point_matrix_theta_deg,two_point_offdiag_residual,mass_low_GeV,mass_high_GeV,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.010837766090286,8.444061018945003,25.964268359542103,0.42425303937174613,0.16024289577972742,AA_AB_BB_two_point_LO_d3_d5,2.2910055598280996,10.530618029252096,8.4,9.625,-0.042170097580502636,-0.08149161667411496,-0.10547158394028684,0.06086724959653322,0.0,0.005529075000316252,0.00017094651805467067,-0.0032657847551199356,-0.12924372853625865,0.056438334919544364,-0.004660690007731288,0.005126760100573065,-0.00035215276985227183,-0.008800140380390176,5.078934612893953,-0.05487161098502721,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.42501982945156985,-0.08554478840021475,-0.3394750410513551,constructive,38.04136990567879,4.633431377541636,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.010837766090286,8.444061018945003,25.964268359542103,0.42425303937174613,0.16024289577972742,AA_AB_BB_two_point_LO_d3_d5,2.2910055598280996,10.530618029252096,8.4,9.625,-0.042170097580502636,-0.08149161667411496,-0.10547158394028684,0.06086724959653322,0.0,0.005529075000316252,0.00017094651805467067,-0.0032657847551199356,-0.12924372853625865,0.056438334919544364,-0.004660690007731288,0.005126760100573065,-0.00035215276985227183,-0.008800140380390176,5.078934612893953,-0.05487161098502721,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,-0.027890924349072088,-0.47294879173390014,0.44505786738482805,destructive,0.24142056088162578,12.474333016451764,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.4846184141856855,7.987267640736721,42.872969637322186,0.4305571882419306,0.19062066460926766,AA_AB_BB_two_point_LO_d3_d5,2.6348811768999187,9.163628024282739,8.4,9.7,-0.027754766962721743,-0.06691667504851455,-0.07805880990296876,0.047813456796351725,0.0,0.005441528897803604,0.00015921498748937111,-0.0031101577413976816,-0.10053694377725395,0.04467228362307065,-0.007360913542643263,0.005084039903267684,-0.0003304854108634193,-0.008444655844092255,4.821965476910443,-0.05250706413361666,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.37873677420127794,-0.10529245439604133,-0.2734443198052366,constructive,30.26610910569617,5.575851356673956,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.4846184141856855,7.987267640736721,42.872969637322186,0.4305571882419306,0.19062066460926766,AA_AB_BB_two_point_LO_d3_d5,2.6348811768999187,9.163628024282739,8.4,9.7,-0.027754766962721743,-0.06691667504851455,-0.07805880990296876,0.047813456796351725,0.0,0.005441528897803604,0.00015921498748937111,-0.0031101577413976816,-0.10053694377725395,0.04467228362307065,-0.007360913542643263,0.005084039903267684,-0.0003304854108634193,-0.008444655844092255,4.821965476910443,-0.05250706413361666,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.3248509717971151,-0.26233233026779346,0.5871833020649085,destructive,32.77528299134432,12.897064351397953,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.153958576343366,8.321299379803293,44.75423145535171,0.39195606754249146,0.20411272351234658,AA_AB_BB_two_point_LO_d3_d5,2.087058815495795,9.854249489999319,7.9,10.75,-0.039091372133776774,-0.08504479013699555,-0.10251672632838686,0.06066170863184075,0.0,0.006022301405226016,0.00018503480509040582,-0.0034436906475470755,-0.1293319078536891,0.05653746891452455,-0.008152742119587757,0.005612860009570283,-0.00038313822683590763,-0.009327330860977633,4.634895460272881,-0.05467703641449042,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.43093609142191924,-0.13490855265266177,-0.29602753876925747,constructive,38.96543565578629,4.901674556838397,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.153958576343366,8.321299379803293,44.75423145535171,0.39195606754249146,0.20411272351234658,AA_AB_BB_two_point_LO_d3_d5,2.087058815495795,9.854249489999319,7.9,10.75,-0.039091372133776774,-0.08504479013699555,-0.10251672632838686,0.06066170863184075,0.0,0.006022301405226016,0.00018503480509040582,-0.0034436906475470755,-0.1293319078536891,0.05653746891452455,-0.008152742119587757,0.005612860009570283,-0.00038313822683590763,-0.009327330860977633,4.634895460272881,-0.05467703641449042,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.30695050316544636,-0.2653090728985862,0.5722595760640325,destructive,29.240362068392415,9.557212884095474,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.525294340267291,8.418965795519743,32.29952818852024,0.4046147134127571,0.1655364048827005,AA_AB_BB_two_point_LO_d3_d5,2.5638042947145223,10.637459520824983,7.9,9.675,-0.03003141701226418,-0.06009665257998793,-0.0830648649061741,0.05024730658450284,0.0,0.006154913368083871,0.00017878145963165563,-0.003547553518308451,-0.10252424478341862,0.04630283674025813,0.00031927935270633804,0.00567174577514003,-0.0003660139390870593,-0.00950025572558675,4.391370139070163,-0.05427560416416821,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.4021734084416442,-0.0965480444884012,-0.30562536395324297,constructive,33.774445268962715,6.016523138457129,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,3.525294340267291,8.418965795519743,32.29952818852024,0.4046147134127571,0.1655364048827005,AA_AB_BB_two_point_LO_d3_d5,2.5638042947145223,10.637459520824983,7.9,9.675,-0.03003141701226418,-0.06009665257998793,-0.0830648649061741,0.05024730658450284,0.0,0.006154913368083871,0.00017878145963165563,-0.003547553518308451,-0.10252424478341862,0.04630283674025813,0.00031927935270633804,0.00567174577514003,-0.0003660139390870593,-0.00950025572558675,4.391370139070163,-0.05427560416416821,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.10130635683060107,-0.38223571349599184,0.4835420703265929,destructive,3.1854453791603485,15.05781362241942,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.354351132547439,8.045228522402624,38.378523359155665,0.3694127806003233,0.18337992758686933,AA_AB_BB_two_point_LO_d3_d5,2.0568306086949018,9.368200821987415,7.35,10.7,-0.03873160667971694,-0.07991258123179931,-0.1030188948248645,0.06121208169320615,0.0,0.006456108234573375,0.00020018087883208395,-0.0035810826614640474,-0.13116064837177102,0.057077823350124526,-0.0017310009906076331,0.006020063280794498,-0.00041469918339609853,-0.009704119316943599,4.2905300975656635,-0.05406519678260403,rohrwild_nonlocal_exact_post_borel,D_{s1}(2460),Ds1_2460,-0.43061831920284804,-0.11944480182091281,-0.3111735173819352,constructive,39.06980621756937,4.967207159599756,,,,,,,
Ds,lattice_fperp_s,theta_sensitivity_25_45,central,4.354351132547439,8.045228522402624,38.378523359155665,0.3694127806003233,0.18337992758686933,AA_AB_BB_two_point_LO_d3_d5,2.0568306086949018,9.368200821987415,7.35,10.7,-0.03873160667971694,-0.07991258123179931,-0.1030188948248645,0.06121208169320615,0.0,0.006456108234573375,0.00020018087883208395,-0.0035810826614640474,-0.13116064837177102,0.057077823350124526,-0.0017310009906076331,0.006020063280794498,-0.00041469918339609853,-0.009704119316943599,4.2905300975656635,-0.05406519678260403,rohrwild_nonlocal_exact_post_borel,D_{s1}(2536),Ds1_2536,0.19515805751273996,-0.30779860704103146,0.5029566645537714,destructive,11.819068332646628,10.13738498452086,,,,,,,
