M2,s0_root,s0,theta_deg,GA,GB,T_A,T_B,T_A_pert,T_A_tw2,T_A_tw3,T_A_tw4,T_A_3p_g,T_A_3p_gamma,T_B_pert,T_B_tw2,T_B_tw3,T_B_tw4,T_B_3p_g,T_B_3p_gamma,GB_hard,GB_soft2p,GB_3p,GB_em,G_low_combo,G_high_combo,Gamma_low_combo_keV,Gamma_high_combo_keV,fB_effective,hard_qcd_side,f1_tensor_matched,chi_effective,fperp_s_used_GeV,transition_scheme,state,m_initial,m_final,quoted_combo,mass_comment,scenario,mb_MSbar,ms_MSbar,f_Bs,f_Bs1_A_working,fT_Bs1_working,G_quoted,Gamma_quoted_keV
8.0,6.05,36.6025,35.3,0.5044527002844135,0.6130901216330048,0.013189441314652037,0.024878633639904828,-0.0035591034091152804,0.014252517981117513,0.0,0.0021577563549583733,2.9189139052281013e-05,0.0003090812486391508,0.00862575640499354,0.013942318081224246,-0.0006154708131655445,0.0021107937195707937,-6.343734656609683e-05,0.000878673593847887,0.2125665790195056,0.3804334807057609,-0.001563301710424326,0.021653363618162568,0.7918677333717085,0.05742400989970814,133.04362696030702,0.699641905220805,0.22683827574263177,0.00862575640499354,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.05742400989970814,0.699641905220805
8.5,6.05,36.6025,35.3,0.471413841522774,0.5789306710898005,0.015525421641285302,0.029591289416567274,-0.004165778927195935,0.016957336487083866,0.0,0.002354566861351666,3.3190716695973475e-05,0.00034610650334973125,0.010531491215252948,0.016588267380297346,-0.0007435869277505464,0.0023033207302714637,-7.213405623401103e-05,0.000983931074730078,0.20604047329580705,0.35505159494081495,-0.001411246971908054,0.019249849825086537,0.744897165290572,0.05019905427212684,117.7284497266972,0.5346626574604604,0.22683827574263177,0.010531491215252948,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.05019905427212684,0.5346626574604604
9.0,6.05,36.6025,35.3,0.444710910517316,0.5509726602547415,0.017981120312841378,0.03457524522998081,-0.004790040879401686,0.019811297210061536,0.0,0.0025407652409270816,3.7205958085442694e-05,0.0003818927831690039,0.012587434028370743,0.01938011288042528,-0.000882574127691469,0.0024854665825123335,-8.086046159711782e-05,0.0010856663279610417,0.2005866326113209,0.3343739774743579,-0.001288549172659479,0.01730059934172226,0.7066490894293214,0.04456153823689102,105.9488847081892,0.42131714253610675,0.22683827574263177,0.012587434028370743,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04456153823689102,0.42131714253610675
9.5,6.05,36.6025,35.3,0.4227592610553462,0.5277201295730232,0.020537674012111568,0.039788543698677105,-0.005426093711924451,0.02279002336622734,0.0,0.002716345221651037,4.120858835372553e-05,0.0004161905478039188,0.014775528255232154,0.022294008347959346,-0.0010318285326582442,0.002657225140767923,-8.955945895535491e-05,0.0011831699463312835,0.19596956712995314,0.3172458780678128,-0.0011878376258837823,0.01569252200114103,0.6749868970660856,0.04008262408735691,96.66727287891817,0.34087964859854736,0.22683827574263177,0.014775528255232154,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.04008262408735691,0.34087964859854736
10.0,6.05,36.6025,35.3,0.4044473066553929,0.508111390063112,0.023177539023967318,0.045191895872254945,-0.006068990269965326,0.02587098817345756,0.0,0.0028815310205378866,4.517783948891161e-05,0.000448832260448283,0.01707813601089835,0.02530791728646211,-0.001190752901168987,0.0028188157420660814,-9.818591276818143e-05,0.001275965646765569,0.19201662733321978,0.30285249248920104,-0.001103945290595457,0.01434621553128661,0.6484017651905809,0.03646860938407337,89.20252729314356,0.2821806232699612,0.22683827574263177,0.01707813601089835,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03646860938407337,0.2821806232699612
10.5,6.05,36.6025,35.3,0.3889757076819581,0.4913746862209966,0.025884634026455758,0.05074912822691363,-0.006714565412632497,0.029033690571239577,0.0,0.003036695577885683,4.9097523447689844e-05,0.0004797157665153031,0.019478449072925088,0.02840178483215105,-0.0013587672651963147,0.002970603209820303,-0.00010670464123349234,0.0013637630184469974,0.18859864466015308,0.29060466665755635,-0.0010331598085782533,0.013204534711865468,0.6258019306227882,0.033513087805422725,83.09264417126872,0.238296503940445,0.22683827574263177,0.019478449072925088,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.033513087805422725,0.238296503940445
11.0,6.05,36.6025,35.3,0.3757570287740146,0.4769371293781729,0.028644388137875017,0.05642737242909116,-0.007359354551538823,0.03225969516200926,0.0,0.00318230224135123,5.295522206850772e-05,0.0005087900639848468,0.021960742003910787,0.03155757682592995,-0.0015353156221239853,0.0031130408071257058,-0.00011508865570949495,0.0014464170699581978,0.18561724211989097,0.2800671933117529,-0.000972755787043892,0.01222544973357289,0.6063803833832082,0.03106767935654625,78.01517168827596,0.2047888987118247,0.22683827574263177,0.021960742003910787,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.03106767935654625,0.2047888987118247
11.5,6.05,36.6025,35.3,0.36435120116134495,0.4643655136826524,0.03144372391195547,0.062197078452252565,-0.008000508298383743,0.03553258344186537,0.0,0.0033188637248066514,5.6741596118861634e-05,0.0005360434475483321,0.024510509224398933,0.03475923210554581,-0.0017198698322855395,0.003246630088858367,-0.00012331765905320292,0.001523894524788207,0.18299629966299794,0.2709124592669638,-0.0009206938576117131,0.011377448610302512,0.589529270797667,0.02902355867634815,73.73938792209692,0.1787269752100635,0.22683827574263177,0.024510509224398933,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.02902355867634815,0.1787269752100635
12.0,6.05,36.6025,35.3,0.3544228863934872,0.45332683271510427,0.03427099769838015,0.068031911424135,-0.008635709738030203,0.03883785016271147,0.0,0.003446913644921104,6.0449805316560484e-05,0.000561493823461216,0.027114519303310748,0.037992561123363904,-0.001911931562999024,0.003371893057751045,-0.00013137678514091213,0.0015962462878492574,0.18067608125444787,0.2628896755463887,-0.0008754218520912256,0.010636497766359016,0.5747830359292627,0.027299473748386205,70.09655362506078,0.15812383270538696,0.22683827574263177,0.027114519303310748,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.027299473748386205,0.15812383270538696
12.5,6.05,36.6025,35.3,0.3457126291973896,0.44356131866331955,0.03711591384690543,0.07390857625123405,-0.009263097820325581,0.04216276858797624,0.0,0.003566987135397008,6.407502675574536e-05,0.0005851809171020194,0.029760812064228873,0.04124511413473922,-0.0021110328887188876,0.0034893532005521866,-0.0001392555522537244,0.0016635852926863812,0.17860911024490442,0.25580396414097595,-0.0008357403094721292,0.009983984586911252,0.5617797442940389,0.025833782182232812,66.96084634144178,0.14160049418328538,0.22683827574263177,0.029760812064228873,-0.15625,3.15,-0.034836479999999996,rohrwild_nonlocal_exact_post_borel,Bs1_5830_observed_high_combo,5.8287,5.36692,high,observed narrow B_s1(5830),legacy_chi_condensate,4.18,0.093,0.2303,0.14615715477391222,0.16629436276498455,0.025833782182232812,0.14160049418328538
