key,value
convolution.z,0.5`17.
convolution.J_g_sigma,-0.15625000000000008
convolution.J_g_xgamma,0.22657985001580294
convolution.J_g_axial,0.07032985001580289
convolution.J_em_axial,0.
convolution.J_em_tensor_base,1.5624999999999944
convolution.L_T4gamma,0.11118345832016344
convolution.Lprime_T4gamma,0.4098669166401059
convolution.J_g_closure,2.7755575615628914*^-17
Ds.ordinary_local_transition_condensate,0
Ds.M2,3.75`17.
Ds.s0,8.`17.
Ds.a0,0.5`17.
Ds.E_Q,0.65043971078708843477766613579940581224`17.
Ds.E_0,0.11844182901380369773302451280921557261`17.
Ds.Delta_E_Q,0.53199788177328473704464162299019023962`17.
Ds.T_A_pert,-0.08866170062479687308043536018302333556`17.
Ds.T_A_tw2,0.05494208124013597824369331085112522229`17.
Ds.T_A_tw3,0
Ds.T_A_tw4,0.00559910829940396011417473240470639517`17.
Ds.T_A_3p_g,0.000168635574573385
Ds.T_A_3p_gamma,-0.0032152534763984554
Ds.T_A,-0.031167128987082002
Ds.T_B_pert,-0.11226165290197121952667979379588382216`17.
Ds.T_B_tw2,0.05119328185984790349976825759664530596`17.
Ds.T_B_tw3,-0.00522532962187057834903209605270871151`17.
Ds.T_B_tw4,0.00521707082923186306328945427577325252`17.
Ds.T_B_3p_g,-0.00034908999063460843
Ds.T_B_3p_gamma,-0.008706319680500275
Ds.T_B,-0.07013203950589691
Ds.bar_psi_V,0
Ds.bar_psi_V_prime,8.984375`17.
Ds.z,0.5`17.
Ds.J_g_sigma,-0.15625000000000008
Ds.J_g_xgamma,0.22657985001580294
Ds.J_g_axial,0.07032985001580289
Ds.J_em_axial,0.
Ds.J_em_tensor_base,1.5624999999999944
Ds.L_T4gamma,0.11118345832016344
Ds.Lprime_T4gamma,0.4098669166401059
Ds.J_g_closure,2.7755575615628914*^-17
Ds.N_1,5.36550630399262878343784741100425105673`17.
Ds.N_2,13.1573801595082422762957471147634071627`17.
Ds.g_1,-0.4113423852549209
Ds.g_2,0.046498676247437865
Ds.g_1_A,-0.07487760020090845
Ds.g_1_B,-0.33646478505401245
Ds.g_2_A,-0.3666727706180409
Ds.g_2_B,0.41317144686547874
Ds.Gamma_1_keV,35.566544571260145
Ds.Gamma_2_keV,0.6709363817478874
Bs_low.ordinary_local_transition_condensate,0
Bs_low.M2,12.`17.
Bs_low.s0,38.5`17.
Bs_low.a0,0.5`17.
Bs_low.E_Q,0.23315930809207105038366843256662126804`17.
Bs_low.E_0,0.04042393037615530772798975460117481271`17.
Bs_low.Delta_E_Q,0.19273537771591574265567867796544645533`17.
Bs_low.T_A_pert,-0.00790337453767726861675358476204067311`17.
Bs_low.T_A_tw2,0.06369518762755583118435903202944104091`17.
Bs_low.T_A_tw3,0
Bs_low.T_A_tw4,0.00344691364492110520092348229033163344`17.
Bs_low.T_A_3p_g,0.000060449805316560314
