key,python,mathematica,absolute_difference,relative_difference,passed
Bs_high.Delta_E_Q,0.1959674967321247,0.1959674967321247,0.0,0.0,1
Bs_high.E_0,0.037191811359946335,0.03719181135994633,6.938893903907228e-18,0.0,1
Bs_high.E_Q,0.23315930809207105,0.23315930809207105,0.0,0.0,1
Bs_high.Gamma_1_keV,11.92956102146953,11.929560958743405,6.27261247387878e-08,5.258041316516184e-09,1
Bs_high.Gamma_2_keV,8.462902269127381,8.462902233322165,3.580521656942892e-08,4.230843678775087e-09,1
Bs_high.J_em_axial,0.0,0.0,0.0,0.0,1
Bs_high.J_em_tensor_base,1.5625000000000047,1.5624999999999944,1.021405182655144e-14,0.0,1
Bs_high.J_g_axial,0.07032985001580308,0.07032985001580289,1.942890293094024e-16,0.0,1
Bs_high.J_g_closure,-2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,1
Bs_high.J_g_sigma,-0.15625,-0.15625000000000008,8.326672684688674e-17,0.0,1
Bs_high.J_g_xgamma,0.2265798500158031,0.22657985001580294,1.6653345369377348e-16,0.0,1
Bs_high.L_T4gamma,0.11118345832015966,0.11118345832016344,3.774758283725532e-15,0.0,1
Bs_high.Lprime_T4gamma,0.4098669166402215,0.4098669166401059,1.1562972801471005e-13,0.0,1
Bs_high.M2,12.0,12.0,0.0,0.0,1
Bs_high.N_1,2.741307703958164,2.7413076966908037,7.2673604911699385e-09,0.0,1
Bs_high.N_2,17.006604781394863,17.006604749564545,3.1830317936965e-08,1.871644478490334e-09,1
Bs_high.T_A,0.061379062066071466,0.061379062069866944,3.795477820922599e-12,0.0,1
Bs_high.T_A_3p_g,6.0449805316560484e-05,6.0449805316560314e-05,1.6940658945086007e-19,0.0,1
Bs_high.T_A_3p_gamma,0.0005921876728428034,0.0005921876728426363,1.6707555478001623e-16,0.0,1
Bs_high.T_A_pert,-0.007483827377041574,-0.007483827373245931,3.795643487014555e-12,0.0,1
Bs_high.T_A_tw2,0.06476333832003257,0.06476333832003257,0.0,0.0,1
Bs_high.T_A_tw3,0.0,0.0,0.0,0.0,1
Bs_high.T_A_tw4,0.003446913644921104,0.003446913644921105,8.673617379884035e-19,0.0,1
Bs_high.T_B,0.09602867761020722,0.09602867761038007,1.7284784714632906e-13,0.0,1
Bs_high.T_B_3p_g,-0.00013137678514091213,-0.00013137678514091222,8.131516293641283e-20,0.0,1
Bs_high.T_B_3p_gamma,0.0016835044928160431,0.0016835044928158727,1.704365815147213e-16,0.0,1
Bs_high.T_B_pert,0.029662796182707257,0.02966279618288027,1.7301438060002283e-13,0.0,1
Bs_high.T_B_tw2,0.06335379222507283,0.06335379222507281,1.3877787807814457e-17,0.0,1
Bs_high.T_B_tw3,-0.001911931562999024,-0.001911931562999025,8.673617379884035e-19,0.0,1
Bs_high.T_B_tw4,0.003371893057751045,0.003371893057751046,8.673617379884035e-19,0.0,1
Bs_high.a0,0.5,0.5,0.0,0.0,1
Bs_high.bar_psi_V,0.0,0.0,0.0,0.0,1
Bs_high.bar_psi_V_prime,8.984374999999996,8.984375,3.552713678800501e-15,0.0,1
Bs_high.f1,0.5381107369832372,0.5381107384097992,1.4265619796560713e-09,0.0,1
Bs_high.f2,0.0888786544593908,0.08887865462574006,1.6634925381620036e-10,0.0,1
Bs_high.g_1,0.31076064727564295,0.3107606464586468,8.169961374093759e-10,0.0,1
Bs_high.g_1_A,0.10474362531987909,0.10474362504867483,2.7120425349913546e-10,0.0,1
Bs_high.g_1_B,0.20601702195576388,0.206017021409972,5.457918839102405e-10,0.0,1
Bs_high.g_2,-0.1997171094479221,-0.19971710902543627,4.2248582410309155e-10,0.0,1
Bs_high.g_2_A,0.8169250944170751,0.8169250929385977,1.4784773405551732e-09,0.0,1
Bs_high.g_2_B,-1.0166422038649972,-1.016642201964034,1.9009631646582648e-09,0.0,1
Bs_high.ordinary_local_transition_condensate,0.0,0.0,0.0,0.0,1
Bs_high.s0,39.5,39.5,0.0,0.0,1
Bs_high.two_point_M2,7.0,7.0,0.0,0.0,1
Bs_high.two_point_s01,44.35,44.35,0.0,0.0,1
Bs_high.two_point_s02,43.025,43.025,0.0,0.0,1
Bs_high.z,0.5,0.5,0.0,0.0,1
Bs_low.Delta_E_Q,0.19273537771591576,0.19273537771591573,2.7755575615628914e-17,0.0,1
Bs_low.E_0,0.040423930376155305,0.040423930376155305,0.0,0.0,1
Bs_low.E_Q,0.23315930809207105,0.23315930809207105,0.0,0.0,1
Bs_low.Gamma_1_keV,11.432997804777306,11.43299774463704,6.01402661004613e-08,5.260235952755238e-09,1
Bs_low.Gamma_2_keV,8.48711590365385,8.487115868040465,3.561338424162841e-08,4.196170365282302e-09,1
Bs_low.J_em_axial,0.0,0.0,0.0,0.0,1
Bs_low.J_em_tensor_base,1.5625000000000047,1.5624999999999944,1.021405182655144e-14,0.0,1
Bs_low.J_g_axial,0.07032985001580308,0.07032985001580289,1.942890293094024e-16,0.0,1
Bs_low.J_g_closure,-2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,1
Bs_low.J_g_sigma,-0.15625,-0.15625000000000008,8.326672684688674e-17,0.0,1
Bs_low.J_g_xgamma,0.2265798500158031,0.22657985001580294,1.6653345369377348e-16,0.0,1
Bs_low.L_T4gamma,0.11118345832015966,0.11118345832016344,3.774758283725532e-15,0.0,1
Bs_low.Lprime_T4gamma,0.4098669166402215,0.4098669166401059,1.1562972801471005e-13,0.0,1
Bs_low.M2,12.0,12.0,0.0,0.0,1
Bs_low.N_1,2.741307703958164,2.7413076966908037,7.2673604911699385e-09,0.0,1
Bs_low.N_2,17.006604781394863,17.006604749564545,3.1830317936965e-08,1.871644478490334e-09,1
Bs_low.T_A,0.05988159717626981,0.059881597179800426,3.5306133017165564e-12,0.0,1
Bs_low.T_A_3p_g,6.0449805316560484e-05,6.0449805316560314e-05,1.6940658945086007e-19,0.0,1
Bs_low.T_A_3p_gamma,0.0005824206396843602,0.0005824206396841959,1.6436504934880247e-16,0.0,1
Bs_low.T_A_pert,-0.007903374541208045,-0.007903374537677268,3.5307763657232982e-12,0.0,1
Bs_low.T_A_tw2,0.06369518762755583,0.06369518762755583,0.0,0.0,1
Bs_low.T_A_tw3,0.0,0.0,0.0,0.0,1
Bs_low.T_A_tw4,0.003446913644921104,0.003446913644921105,8.673617379884035e-19,0.0,1
Bs_low.T_B,0.09417307421321013,0.09417307421337093,1.608019273291461e-13,0.0,1
Bs_low.T_B_3p_g,-0.00013137678514091213,-0.00013137678514091222,8.131516293641283e-20,0.0,1
Bs_low.T_B_3p_gamma,0.0016557382204706761,0.0016557382204705085,1.6761765586625899e-16,0.0,1
Bs_low.T_B_pert,0.02887986191191765,0.02887986191207859,1.6094070520722425e-13,0.0,1
Bs_low.T_B_tw2,0.06230888937121071,0.062308889371210714,6.938893903907228e-18,0.0,1
Bs_low.T_B_tw3,-0.001911931562999024,-0.001911931562999025,8.673617379884035e-19,0.0,1
Bs_low.T_B_tw4,0.003371893057751045,0.003371893057751046,8.673617379884035e-19,0.0,1
Bs_low.a0,0.5,0.5,0.0,0.0,1
Bs_low.bar_psi_V,0.0,0.0,0.0,0.0,1
Bs_low.bar_psi_V_prime,8.984374999999996,8.984375,3.552713678800501e-15,0.0,1
Bs_low.f1,0.5381107369832372,0.5381107384097992,1.4265619796560713e-09,0.0,1
Bs_low.f2,0.0888786544593908,0.08887865462574006,1.6634925381620036e-10,0.0,1
Bs_low.g_1,0.30422426176569334,0.30422426096554767,8.001456719419764e-10,0.0,1
Bs_low.g_1_A,0.10218819524213991,0.10218819497725826,2.6488165827398547e-10,0.0,1
Bs_low.g_1_B,0.2020360665235534,0.20203606598828944,5.352639720346275e-10,0.0,1
Bs_low.g_2,-0.20000261569862,-0.20000261527899754,4.196224479002808e-10,0.0,1
Bs_low.g_2_A,0.796994574052156,0.7969945726074563,1.4446996932093725e-09,0.0,1
Bs_low.g_2_B,-0.996997189750776,-0.9969971878864539,1.8643221411096533e-09,0.0,1
Bs_low.ordinary_local_transition_condensate,0.0,0.0,0.0,0.0,1
Bs_low.s0,38.5,38.5,0.0,0.0,1
Bs_low.two_point_M2,7.0,7.0,0.0,0.0,1
Bs_low.two_point_s01,44.35,44.35,0.0,0.0,1
Bs_low.two_point_s02,43.025,43.025,0.0,0.0,1
Bs_low.z,0.5,0.5,0.0,0.0,1
Ds.Delta_E_Q,0.5319978817732847,0.5319978817732848,1.1102230246251565e-16,0.0,1
Ds.E_0,0.1184418290138037,0.11844182901380369,1.3877787807814457e-17,0.0,1
Ds.E_Q,0.6504397107870884,0.6504397107870884,0.0,0.0,1
Ds.Gamma_1_keV,35.56654457978389,35.566544571260145,8.523741712451738e-09,0.0,1
Ds.Gamma_2_keV,0.6709363816628618,0.6709363817478874,8.502554216249791e-11,0.0,1
Ds.J_em_axial,0.0,0.0,0.0,0.0,1
Ds.J_em_tensor_base,1.5625000000000047,1.5624999999999944,1.021405182655144e-14,0.0,1
Ds.J_g_axial,0.07032985001580308,0.07032985001580289,1.942890293094024e-16,0.0,1
Ds.J_g_closure,-2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,1
Ds.J_g_sigma,-0.15625,-0.15625000000000008,8.326672684688674e-17,0.0,1
Ds.J_g_xgamma,0.2265798500158031,0.22657985001580294,1.6653345369377348e-16,0.0,1
Ds.L_T4gamma,0.11118345832015966,0.11118345832016344,3.774758283725532e-15,0.0,1
