sector,state,scan,M2_GeV2,s0_GeV2,theta_deg,width_keV
Ds,Ds1_2460,M2,3.0,7.5,26.0,27.374491167870147
Ds,Ds1_2536,M2,3.0,7.5,26.0,3.6900319533570616
Ds,Ds1_2460,M2,3.0,7.5,26.6,27.301853218055168
Ds,Ds1_2536,M2,3.0,7.5,26.6,4.352815162077333
Ds,Ds1_2460,M2,3.0,7.5,27.200000000000003,27.22333214522649
Ds,Ds1_2536,M2,3.0,7.5,27.200000000000003,5.0692787838360385
Ds,Ds1_2460,M2,3.05,7.5,26.0,27.508821919108986
Ds,Ds1_2536,M2,3.05,7.5,26.0,3.3895019656635195
Ds,Ds1_2460,M2,3.05,7.5,26.6,27.438830716444432
Ds,Ds1_2536,M2,3.05,7.5,26.6,4.026818457284342
Ds,Ds1_2460,M2,3.05,7.5,27.200000000000003,27.362918713599697
Ds,Ds1_2536,M2,3.05,7.5,27.200000000000003,4.7180477758715265
Ds,Ds1_2460,M2,3.1,7.5,26.0,27.63981594471579
Ds,Ds1_2536,M2,3.1,7.5,26.0,3.115256506855672
Ds,Ds1_2460,M2,3.1,7.5,26.6,27.572358320709426
Ds,Ds1_2536,M2,3.1,7.5,26.6,3.728277620200695
Ds,Ds1_2460,M2,3.1,7.5,27.200000000000003,27.49894360065228
Ds,Ds1_2536,M2,3.1,7.5,27.200000000000003,4.395433839950046
Ds,Ds1_2460,M2,3.15,7.5,26.0,27.767675346513414
Ds,Ds1_2536,M2,3.15,7.5,26.0,2.864664699402473
Ds,Ds1_2460,M2,3.15,7.5,26.6,27.702645104382597
Ds,Ds1_2536,M2,3.15,7.5,26.6,3.454485369578334
Ds,Ds1_2460,M2,3.15,7.5,27.200000000000003,27.631622745854628
Ds,Ds1_2536,M2,3.15,7.5,27.200000000000003,4.098654201368565
Ds,Ds1_2460,M2,3.2,7.5,26.0,27.892583338285707
Ds,Ds1_2536,M2,3.2,7.5,26.0,2.635401108164189
Ds,Ds1_2460,M2,3.2,7.5,26.6,27.829880698355023
Ds,Ds1_2536,M2,3.2,7.5,26.6,3.2030462317308355
Ds,Ds1_2460,M2,3.2,7.5,27.200000000000003,27.761152102434497
Ds,Ds1_2536,M2,3.2,7.5,27.200000000000003,3.8252441546092992
Ds,Ds1_2460,M2,3.25,7.5,26.0,28.014706484019687
Ds,Ds1_2536,M2,3.25,7.5,26.0,2.4254052413235
Ds,Ds1_2460,M2,3.25,7.5,26.6,27.954237581603483
Ds,Ds1_2536,M2,3.25,7.5,26.6,2.9718354123548445
Ds,Ds1_2460,M2,3.25,7.5,27.200000000000003,27.887709979216083
Ds,Ds1_2536,M2,3.25,7.5,27.200000000000003,3.5730153196838796
Ds,Ds1_2460,M2,3.3,7.5,26.0,28.134196630570717
Ds,Ds1_2536,M2,3.3,7.5,26.0,2.232847073091936
Ds,Ds1_2460,M2,3.3,7.5,26.6,28.075873060732942
Ds,Ds1_2536,M2,3.3,7.5,26.6,2.7589637605758743
Ds,Ds1_2460,M2,3.3,7.5,27.200000000000003,28.011459065861796
Ds,Ds1_2536,M2,3.3,7.5,27.200000000000003,3.340020059144058
Ds,Ds1_2460,M2,3.35,7.5,26.0,28.251192580879742
Ds,Ds1_2536,M2,3.35,7.5,26.0,2.0560975995511943
Ds,Ds1_2460,M2,3.35,7.5,26.6,28.194930985111956
Ds,Ds1_2536,M2,3.35,7.5,26.6,2.5627478279416818
Ds,Ds1_2460,M2,3.35,7.5,27.200000000000003,28.132548188912306
Ds,Ds1_2536,M2,3.35,7.5,27.200000000000003,3.1245210501704217
Ds,Ds1_2460,M2,3.4,7.5,26.0,28.365821546322437
Ds,Ds1_2536,M2,3.4,7.5,26.0,1.8937036159815464
Ds,Ds1_2460,M2,3.4,7.5,26.6,28.311543236752637
Ds,Ds1_2536,M2,3.4,7.5,26.6,2.381684203201864
Ds,Ds1_2460,M2,3.4,7.5,27.200000000000003,28.25111383832228
Ds,Ds1_2536,M2,3.4,7.5,27.200000000000003,2.924965185331619
Ds,Ds1_2460,M2,3.45,7.5,26.0,28.47820041054811
Ds,Ds1_2536,M2,3.45,7.5,26.0,1.744366046817268
Ds,Ds1_2460,M2,3.45,7.5,26.6,28.42583102779487
Ds,Ds1_2536,M2,3.45,7.5,26.6,2.214427447474028
Ds,Ds1_2460,M2,3.45,7.5,27.200000000000003,28.367281497832835
Ds,Ds1_2536,M2,3.45,7.5,27.200000000000003,2.7399611202964143
Ds,Ds1_2460,M2,3.5,7.5,26.0,28.5884368320162
Ds,Ds1_2536,M2,3.5,7.5,26.0,1.606921275027922
Ds,Ds1_2460,M2,3.5,7.5,26.6,28.537906033244514
Ds,Ds1_2536,M2,3.5,7.5,26.6,2.0597710708995542
Ds,Ds1_2460,M2,3.5,7.5,27.200000000000003,28.481166807254354
Ds,Ds1_2536,M2,3.5,7.5,27.200000000000003,2.568259904089255
Ds,Ds1_2460,M2,3.55,7.5,26.0,28.69663020816894
Ds,Ds1_2536,M2,3.55,7.5,26.0,1.4803250117768598
Ds,Ds1_2460,M2,3.55,7.5,26.6,28.647871382292646
Ds,Ds1_2536,M2,3.55,7.5,26.6,1.9166310866751168
Ds,Ds1_2460,M2,3.55,7.5,27.200000000000003,28.59287658036064
Ds,Ds1_2536,M2,3.55,7.5,27.200000000000003,2.4087382229636347
Ds,Ds1_2460,M2,3.6,7.5,26.0,28.80287252062816
Ds,Ds1_2536,M2,3.6,7.5,26.0,1.36363832397654
Ds,Ds1_2460,M2,3.6,7.5,26.6,28.7558225279455
Ds,Ds1_2536,M2,3.6,7.5,26.6,1.784031755747036
Ds,Ds1_2460,M2,3.6,7.5,27.200000000000003,28.70250969845324
Ds,Ds1_2536,M2,3.6,7.5,27.200000000000003,2.260383866975167
Ds,Ds1_2460,M2,3.65,7.5,26.0,28.907249077844586
Ds,Ds1_2536,M2,3.65,7.5,26.0,1.2560155002526772
Ds,Ds1_2460,M2,3.65,7.5,26.6,28.86184801169388
Ds,Ds1_2536,M2,3.65,7.5,26.6,1.6610931988956583
Ds,Ds1_2460,M2,3.65,7.5,27.200000000000003,28.8101578966152
Ds,Ds1_2536,M2,3.65,7.5,27.200000000000003,2.122283092304178
Ds,Ds1_2460,M2,3.7,7.5,26.0,29.009839169152432
Ds,Ds1_2536,M2,3.7,7.5,26.0,1.1566934875313934
Ds,Ds1_2460,M2,3.7,7.5,26.6,28.96603013744026
Ds,Ds1_2536,M2,3.7,7.5,26.6,1.5470206051137918
Ds,Ds1_2460,M2,3.7,7.5,27.200000000000003,28.915906457128255
Ds,Ds1_2536,M2,3.7,7.5,27.200000000000003,1.9936096050113543
Ds,Ds1_2460,M2,3.75,7.5,26.0,29.11071664210951
Ds,Ds1_2536,M2,3.75,7.5,26.0,1.0649826731138294
Ds,Ds1_2460,M2,3.75,7.5,26.6,29.068445566796637
Ds,Ds1_2536,M2,3.75,7.5,26.6,1.4410948082447976
Ds,Ds1_2460,M2,3.75,7.5,27.200000000000003,29.01983482239285
Ds,Ds1_2536,M2,3.75,7.5,27.200000000000003,1.8736149353692264
Ds,Ds1_2460,M2,3.8,7.5,26.0,29.2099504132611
