sector,scenario,ensemble,window_id,M2,s0,theta_deg,f1_GeV,f2_GeV,normalization_scheme,two_point_M2_GeV2,two_point_s0_mix_GeV2,two_point_s01_GeV2,two_point_s02_GeV2,GA_basis,GB_basis,chi_effective,fperp_s_used_GeV,state,state_key,g_GeV_inv,g_A_component_GeV_inv,g_B_component_GeV_inv,interference,Gamma_keV,rho_AB,g_low_GeV_inv,g_high_GeV_inv,quoted_combo
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.105984126812641,8.151548545554956,27.209162457886247,0.4324473678981588,0.1680895322808311,AA_AB_BB_two_point_LO_d3_d5,2.500006625317157,10.87354849930944,8.2,9.825,-0.6222747801408554,-0.42360087177533856,3.0203534644602934,-0.025662195225404673,D_{s1}(2460),Ds1_2460,-0.5476608217218335,-0.15666869599832345,-0.39099212572351,constructive,63.460526991631006,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.105984126812641,8.151548545554956,27.209162457886247,0.4324473678981588,0.1680895322808311,AA_AB_BB_two_point_LO_d3_d5,2.500006625317157,10.87354849930944,8.2,9.825,-0.6222747801408554,-0.42360087177533856,3.0203534644602934,-0.025662195225404673,D_{s1}(2536),Ds1_2536,-0.26679814402588153,-0.7839707832668799,0.5171726392409983,destructive,22.086972235485177,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.03501411452904,7.539957725186289,25.357219249571273,0.36563524444807194,0.17156245387031552,AA_AB_BB_two_point_LO_d3_d5,2.428148822824452,9.631234062344202,7.375,10.175,-0.6222870880122426,-0.36831278480573615,3.379430087745673,-0.029596284876979524,D_{s1}(2460),Ds1_2460,-0.5528277032539232,-0.14311332483272227,-0.4097143784212008,constructive,64.2693809252342,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.03501411452904,7.539957725186289,25.357219249571273,0.36563524444807194,0.17156245387031552,AA_AB_BB_two_point_LO_d3_d5,2.428148822824452,9.631234062344202,7.375,10.175,-0.6222870880122426,-0.36831278480573615,3.379430087745673,-0.029596284876979524,D_{s1}(2536),Ds1_2536,-0.22975644276706766,-0.6435771770676725,0.41382073430060484,destructive,16.384935020279286,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.0136247812699155,7.969689017597173,26.004865491943413,0.37329884094779864,0.16728144209794635,AA_AB_BB_two_point_LO_d3_d5,2.246459289807592,10.806728771476788,7.725,10.925,-0.4214443924580546,-0.3589836100923032,2.788092787583775,-0.03346147425776653,D_{s1}(2460),Ds1_2460,-0.5130772574503841,-0.12280002174617546,-0.39027723570420864,constructive,55.210721670828654,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,4.0136247812699155,7.969689017597173,26.004865491943413,0.37329884094779864,0.16728144209794635,AA_AB_BB_two_point_LO_d3_d5,2.246459289807592,10.806728771476788,7.725,10.925,-0.4214443924580546,-0.3589836100923032,2.788092787583775,-0.03346147425776653,D_{s1}(2536),Ds1_2536,-0.1368642319403729,-0.5617356034002366,0.4248713714598638,destructive,5.810786224597429,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.2908705327234378,7.51305681416463,26.778513471775597,0.39073627852689274,0.1697700779450319,AA_AB_BB_two_point_LO_d3_d5,2.3997629041739557,10.403745972371176,7.875,10.025,-0.43539378667411444,-0.3396168333823174,2.983056450291263,-0.039805855401162875,D_{s1}(2460),Ds1_2460,-0.451775823554117,-0.12274116170963274,-0.3290346618444842,constructive,42.78559667287196,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.2908705327234378,7.51305681416463,26.778513471775597,0.39073627852689274,0.1697700779450319,AA_AB_BB_two_point_LO_d3_d5,2.3997629041739557,10.403745972371176,7.875,10.025,-0.43539378667411444,-0.3396168333823174,2.983056450291263,-0.039805855401162875,D_{s1}(2536),Ds1_2536,-0.17758910554006233,-0.5597691966399067,0.38218009109984435,destructive,9.784509850094262,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.6610782992130257,8.20959919736765,26.81781208924442,0.4310757094047611,0.15523890488065223,AA_AB_BB_two_point_LO_d3_d5,2.680869145253516,10.277584102983385,8.5,9.325,-0.3928361210706208,-0.27539944979077174,3.7700234833055495,-0.054243245966114094,D_{s1}(2460),Ds1_2460,-0.35583763483230957,-0.09064885981968332,-0.2651887750126262,constructive,26.45872237141861,,,,
Ds,legacy_chi_condensate,theta_prior_gaussian,central,3.6610782992130257,8.20959919736765,26.81781208924442,0.4310757094047611,0.15523890488065223,AA_AB_BB_two_point_LO_d3_d5,2.680869145253516,10.277584102983385,8.5,9.325,-0.3928361210706208,-0.27539944979077174,3.7700234833055495,-0.054243245966114094,D_{s1}(2536),Ds1_2536,-0.12566850514087757,-0.49793345072330963,0.3722649455824321,destructive,4.898372830111394,,,,
