sector,state,scenario,ensemble,window_id,n,g_median_GeV_inv,g_p16_GeV_inv,g_p84_GeV_inv,Gamma_median_keV,Gamma_p16_keV,Gamma_p84_keV,f1_median_GeV,f1_p16_GeV,f1_p84_GeV,f2_median_GeV,f2_p16_GeV,f2_p84_GeV
Bs,B_{s1}(5750),lattice_fperp_s,theta_hqet_35p3,central_10_14,414,0.37967469826563643,0.33673856147677306,0.44647575174010473,17.990904132862692,12.685946347942503,25.744486332412016,0.43841967699066153,0.37612605703162916,0.48422320483025966,0.21651381597558939,0.13499452861250627,0.2929294782999401
Bs,B_{s1}(5750),lattice_fperp_s,theta_hqet_35p3,crosscheck_9_13,405,0.406239652089617,0.3548912974568228,0.48245396992918327,19.928957140395475,14.584439669184174,30.648482832973734,0.4298198657235517,0.36948047415785035,0.47890402569928286,0.22866694269988555,0.13569412928542848,0.29592694131354447
Bs,B_{s1}(5750),lattice_fperp_s,theta_prior_gaussian,central_10_14,245,0.385010776680956,0.3334731640541847,0.4573494275526301,18.155092829586003,13.030163829287709,27.94398033166189,0.4331571709773474,0.3711727167790259,0.4886922157280371,0.19448672344624235,0.10311751316742296,0.2933720560228998
Bs,B_{s1}(5750),lattice_fperp_s,theta_prior_gaussian,crosscheck_9_13,261,0.4101643593954327,0.36036141258262044,0.48878451868218237,21.364611580724006,14.288261906646877,30.831874984390925,0.4294791879919734,0.3551780052036989,0.47676297678576424,0.21686232456647053,0.11943027729110488,0.2919368486809123
Bs,B_{s1}(5750),lattice_fperp_s,theta_sensitivity_25_45,central_10_14,342,0.3991985443225379,0.34704253133902013,0.471921857267628,19.711508774047623,13.83112752872681,30.237099143638535,0.4194453853471421,0.36720046473389034,0.4697072477801802,0.2560467038456335,0.18200075987882228,0.3171682237903313
Bs,B_{s1}(5750),lattice_fperp_s,theta_sensitivity_25_45,crosscheck_9_13,331,0.418541219359335,0.35725921601848576,0.4906044230473896,21.779494886233746,14.828633944561068,31.772353186475765,0.4217192876129017,0.36500422016681744,0.47138877197216045,0.24962457789447687,0.1618076598956674,0.298916956091639
Bs,B_{s1}(5750),legacy_chi_condensate,theta_hqet_35p3,central_10_14,404,0.27595726777882706,0.22399113503784251,0.34444820841890567,9.299001824031242,6.022153492339553,15.077875756565545,0.43162873005681845,0.37492908873097514,0.49081679162687547,0.21472821958719823,0.13371620560444875,0.3021254594718606
Bs,B_{s1}(5750),legacy_chi_condensate,theta_hqet_35p3,crosscheck_9_13,408,0.28982538242273376,0.22967780856455977,0.36249955410602946,10.20746273963077,6.057002030917747,16.403448969780612,0.4346449042475131,0.37054818993630884,0.48701191408297695,0.21794008563581727,0.1259735511961775,0.292760248745362
Bs,B_{s1}(5750),legacy_chi_condensate,theta_prior_gaussian,central_10_14,249,0.27801627158309117,0.21631183109223637,0.35817519250638935,9.177586542714769,5.48782991599267,16.19829462902256,0.4270832765040049,0.3675061513157561,0.48488679312627336,0.21922213587757194,0.12839033586029666,0.3073657738796435
Bs,B_{s1}(5750),legacy_chi_condensate,theta_prior_gaussian,crosscheck_9_13,255,0.28960504788565195,0.23758506385568928,0.36029452864424266,10.293909289936797,6.475989899865055,17.05649348046034,0.4332980147648519,0.3756538925976088,0.47399601106182904,0.22003669644405727,0.12148596799590972,0.3041507081080278
