fB_scheme,M2,s0_root,s0,GA_stage1_full,GB_twist2_only,G2460_using_partial_GB,G2536_using_partial_GB,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,3.0,2.5,6.25,-0.3143879887429884,0.2615503287566157,0.031789558686366515,-0.4077227071148739,0.21242408073666286,51.58577527136256,0.256
fB_converted_fT_M_over_msum,3.0,2.5,6.25,-0.3143879887429884,0.14494535397246072,-0.0633761444253316,-0.34034163339480356,0.8442797622604172,35.94432408365005,0.4619457079970653
fB_equal_fT,3.25,2.5,6.25,-0.31814548367249346,0.2511368086887182,0.02111939642030436,-0.40477180800347334,0.09375571582121661,50.84177179780188,0.256
fB_converted_fT_M_over_msum,3.25,2.5,6.25,-0.31814548367249346,0.13917441359736646,-0.07025732288915419,-0.3400734843556974,1.0375712852848795,35.88770662610743,0.4619457079970653
fB_equal_fT,3.5,2.5,6.25,-0.3209827833460451,0.24274750009837703,0.012633011075921935,-0.4022396089891463,0.03354659947147933,50.207642705671816,0.256
fB_converted_fT_M_over_msum,3.5,2.5,6.25,-0.3209827833460451,0.13452524603947463,-0.07569123854475351,-0.3397025543532408,1.2042758383018197,35.809461376876726,0.4619457079970653
fB_equal_fT,3.75,2.5,6.25,-0.3231896655871893,0.2358552388904106,0.005732713894287478,-0.4000579828547584,0.006908047023031043,49.66449746319144,0.256
fB_converted_fT_M_over_msum,3.75,2.5,6.25,-0.3231896655871893,0.13070570872438692,-0.08008377025347221,-0.33929652514797826,1.3481051623369444,35.72391007511093,0.4619457079970653
fB_equal_fT,4.0,2.5,6.25,-0.3249493285602624,0.230099016662219,1.8009891669723554e-05,-0.3981678330507492,6.817999275084181e-08,49.19630743593839,0.256
fB_converted_fT_M_over_msum,4.0,2.5,6.25,-0.3249493285602624,0.12751573885367123,-0.08370405924152204,-0.3388893038348286,1.472745786933665,35.63821036074497,0.4619457079970653
fB_equal_fT,4.25,2.5,6.25,-0.3263821576416526,0.22522388596744367,-0.004788738734009812,-0.39652008728238985,0.004820332942719648,48.789969864877605,0.256
fB_converted_fT_M_over_msum,4.25,2.5,6.25,-0.3263821576416526,0.12481405024339323,-0.08673698008218113,-0.33849749814615204,1.5814058615231321,35.55585201179629,0.4619457079970653
fB_equal_fT,4.5,2.5,6.25,-0.32756993550557467,0.221045012303658,-0.008885641109962594,-0.39507468343784774,0.01659633856973984,48.43491760127944,0.256
fB_converted_fT_M_over_msum,4.5,2.5,6.25,-0.32756993550557467,0.12249821173811173,-0.08931338943363772,-0.33812866337244607,1.6767483663430305,35.478409254231316,0.4619457079970653
