fB_scheme,include_vector_da_diagnostic,M2,s0_root,s0,GA_stage1_full,GB_tensor_DA_soft2p,GB_vector_DA_diagnostic,GB_soft2p_estimate,G2460_partial,G2536_partial,Gamma2460_keV_partial,Gamma2536_keV_partial,fB
fB_equal_fT,False,3.0,2.5,6.25,-0.25924581986396156,0.3204266853878664,-1.5858000506455492e-15,0.3204266853878664,0.11170508921188402,-0.39674126186944225,2.6228935742772532,48.84441407268852,0.256
fB_equal_fT,True,3.0,2.5,6.25,-0.25924581986396156,0.3204266853878664,-1.5858000506455492e-15,0.3204266853878648,0.11170508921188274,-0.39674126186944136,2.622893574277193,48.8444140726883,0.256
fB_converted_fT_M_over_msum,False,3.0,2.5,6.25,-0.25924581986396156,0.17757331660242398,-8.788149904573626e-16,0.17757331660242398,-0.0048829149234993485,-0.3141923535479057,0.005011792301437794,30.633130892053927,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.0,2.5,6.25,-0.25924581986396156,0.17757331660242398,-8.788149904573626e-16,0.1775733166024231,-0.00488291492350007,-0.3141923535479052,0.005011792301439275,30.63313089205383,0.4619457079970653
fB_equal_fT,False,3.25,2.5,6.25,-0.2673933777857902,0.3037152745390171,-1.4553123585022818e-15,0.3037152745390171,0.09335815016962981,-0.3937339739835892,1.8320580285854,48.10674183797832,0.256
fB_equal_fT,True,3.25,2.5,6.25,-0.2673933777857902,0.3037152745390171,-1.4553123585022818e-15,0.30371527453901564,0.09335815016962862,-0.3937339739835884,1.832058028585353,48.10674183797811,0.256
fB_converted_fT_M_over_msum,False,3.25,2.5,6.25,-0.2673933777857902,0.16831222573558863,-8.065016241669486e-16,0.16831222573558863,-0.017149367770306623,-0.31549028986775624,0.06182028139359666,30.8867460879047,0.4619457079970653
fB_converted_fT_M_over_msum,True,3.25,2.5,6.25,-0.2673933777857902,0.16831222573558863,-8.065016241669486e-16,0.16831222573558782,-0.01714936777030729,-0.31549028986775574,0.06182028139360145,30.8867460879046,0.4619457079970653
fB_equal_fT,False,3.5,2.5,6.25,-0.2737142895824664,0.29043784189296334,-1.3520459947515797e-15,0.29043784189296334,0.07886935121266286,-0.3912202420176772,1.3075288683556678,47.49444296796294,0.256
fB_equal_fT,True,3.5,2.5,6.25,-0.2737142895824664,0.29043784189296334,-1.3520459947515797e-15,0.290437841892962,0.07886935121266178,-0.3912202420176764,1.3075288683556319,47.49444296796275,0.256
