M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV,theta_deg
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3727136695856306,-0.24652911358880186,29.20017081444794,18.85977868200946,20.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3735719460856519,-0.24522659815086487,29.334808625438317,18.661017094844258,20.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.37442567072940225,-0.2439210947042183,29.46903961190663,18.462856089990282,20.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.37527483311451626,-0.2426126191560095,29.602857231623986,18.265305325535326,20.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3761194228942184,-0.24130118744960016,29.736254962508397,18.068374429824956,20.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.37695942977744856,-0.23998681556437185,29.869226302942625,17.87207300099321,21.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.37779484352898796,-0.23866951951553103,30.001764772091136,17.676410606494773,21.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3786256539695838,-0.23734931535391446,30.13386391021595,17.481396782638726,21.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.37945185097607304,-0.23602621916579317,30.265517278991428,17.287041034123707,21.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3802734244815058,-0.23470024707267667,30.39671846181811,17.093352833574716,21.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38109036447526823,-0.23337141523111649,30.527461064135434,16.900341621081388,22.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38190266100320436,-0.2320397398325092,30.657738713733433,16.708016803737923,22.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3827103041677372,-0.2307052371028994,30.787545061063234,16.5163877551846,22.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38351328412798985,-0.2293679233027816,30.916873779546624,16.325463815150876,22.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38431159109990476,-0.22802781472690242,31.045718565884304,16.13525428900024,22.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38510521535636355,-0.22668492770406207,31.174073140363166,15.94576844727667,23.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3858941472273049,-0.22533927859691497,31.301931247162326,15.757015525252744,23.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3866783770998431,-0.22399088380177096,31.42928665465804,15.569004722479606,23.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3874578954183847,-0.22263975974839506,31.556133155727437,15.381745202338534,23.6
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3882326926847448,-0.22128592289980734,31.682464568050985,15.195246091594342,23.8
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38900275945826324,-0.2199293897520828,31.808274734413867,15.009516479950609,24.0
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.38976808635591953,-0.2185701768341495,31.933557523006094,14.824565419606548,24.2
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3905286640524469,-0.21720830070758812,32.058306827721296,14.640401924815938,24.4
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.3912844832804462,-0.21584377796642934,32.182516568454346,14.457034971447685,24.6
