M2,s0_root,GA,GB,GB_em,G2460,G2536,Gamma2460_keV,Gamma2536_keV
3.0,2.5,-0.36249415592331596,-0.2676071362605624,-0.02157677422039698,-0.42787425507069976,-0.14120628280579536,38.48283527173264,6.187400168176697
3.125,2.5,-0.3566351396611666,-0.26451443211608744,-0.018482143678303257,-0.4219645057449271,-0.13821166206321164,37.427135701773445,5.92774540956263
3.25,2.5,-0.35166508502193866,-0.26185763155793884,-0.015867004994588877,-0.4169242069731956,-0.13569066610637798,36.53835343398431,5.713472120216396
3.375,2.5,-0.34742045386331133,-0.25955979644276167,-0.013641559424173413,-0.4125960648821848,-0.13355428460267796,35.78367269942479,5.534976920764614
3.5,2.5,-0.34377312566543566,-0.25756018972565387,-0.011735733355088035,-0.4088564742672049,-0.1317330509442815,35.13795708683436,5.3850490582286605
3.625,2.5,-0.3406216370510795,-0.2558103498073705,-0.010094245187359617,-0.4056072524093075,-0.13017216095962647,34.58168679974985,5.258191426729983
3.75,2.5,-0.33788483869049063,-0.2542712312619797,-0.008673045180792042,-0.402769640109758,-0.12882794832736424,34.09951512036833,5.150155529423871
3.875,2.5,-0.33549723855640495,-0.25291109339237605,-0.007436710303066766,-0.4002798875252225,-0.1276653041460197,33.67924039550728,5.057616928157273
4.0,2.5,-0.33340553947621676,-0.25170392119053503,-0.006356513457451398,-0.3980859646521975,-0.12665576356031966,33.311062205309476,4.977944824379717
4.125,2.5,-0.3315660343536981,-0.25062823063202727,-0.0054089756007428035,-0.396145081091965,-0.12577607027339824,32.987035287049146,4.909035885267158
4.25,2.5,-0.32994262528154317,-0.2496661549910013,-0.004574768110782573,-0.3944217956869852,-0.12500708784993597,32.70066327306412,4.849192666583604
4.375,2.5,-0.32850530192172317,-0.2488027390835025,-0.0038378722427856262,-0.39288656124682575,-0.12433296569204874,32.44659273027072,4.797033479475966
4.5,2.5,-0.32722896172582394,-0.24802538905897392,-0.0031849293945828104,-0.39151459375765074,-0.12374049411893365,32.22038012871253,4.751424748871465
4.625,2.5,-0.32609248722281414,-0.2473234397513854,-0.0026047344569472236,-0.39028498608491535,-0.1232186013161804,32.018312499137565,4.711429675569473
4.75,2.5,-0.32507801848846085,-0.24668781173045382,-0.002087837499885321,-0.38918000767088007,-0.12275795774628079,31.837268072726797,4.676268863345791
4.875,2.5,-0.3241703751444335,-0.24611073740817005,-0.001626228227219743,-0.3881845469976271,-0.12235066269180161,31.674607015236575,4.645289828295391
5.0,2.5,-0.3233565938798207,-0.2455855407526766,-0.0012130842022155832,-0.38728566455655755,-0.12198999410332576,31.52808503944276,4.617943172723376
5.125,2.5,-0.3226255559288915,-0.24510645894427852,-0.0008425685986314987,-0.3864722320303422,-0.12167020762748351,31.39578457213803,4.593763809680339
5.25,2.5,-0.32196768511853235,-0.24466849708903926,-0.0005096667020053736,-0.3857346392336348,-0.12138637412697206,31.276059508051816,4.572356050881667
5.375,2.5,-0.32137470166499604,-0.24426730916848807,-0.00021005294435407792,-0.3850645546812277,-0.12113424753894661,31.16749056555731,4.553381675723763
5.5,2.5,-0.3208394203033091,-0.24389909994801628,6.0017841909604476e-05,-0.3844547288793453,-0.1209101568038225,31.068848978156204,4.536550319489142
5.625,2.5,-0.3203555838909352,-0.2435605437317156,0.00030379983831558074,-0.3838988318650224,-0.12071091701110645,30.97906678717918,4.521611679713542
5.75,2.5,-0.31991772556513864,-0.2432487167375097,0.0005241301321269489,-0.3833913183614879,-0.12053375597838478,30.89721239745024,4.508349158266425
5.875,2.5,-0.31952105401233843,-0.24296104054530476,0.0007234900737782678,-0.3829273153260967,-0.12037625329424831,30.8224703557395,4.496574644891089
6.0,2.5,-0.319161357544207,-0.2426952345946113,0.0009040564586309501,-0.3825025277514952,-0.1202362894808019,30.754124537823987,4.486124214107835
3.0,2.55,-0.3910424583500184,-0.2832888800371235,-0.02204862458517981,-0.45716956986523305,-0.15544381034428945,43.93285024017873,7.498027528139803
3.125,2.55,-0.3855427079138201,-0.28043436219269924,-0.018902854293983685,-0.4516618178290801,-0.1526047621775876,42.88066441463865,7.226638600450973
3.25,2.55,-0.3809140520703031,-0.2780035223554267,-0.016241710408230737,-0.4470032139925941,-0.1502318214857723,42.00065286359174,7.003643466808219
3.375,2.55,-0.37699419757714914,-0.2759202979338477,-0.013974790515203105,-0.4430378984282275,-0.14823648800157607,41.258791809605974,6.818838397475746
3.5,2.55,-0.37365616010109187,-0.2741247503354809,-0.012031498444647876,-0.4396435741324046,-0.14654976100992917,40.62900712761703,6.664543281442007
3.625,2.55,-0.3707995152214643,-0.2725691470593622,-0.01035609918029498,-0.4367232537996635,-0.1451172629557763,40.09104565683632,6.5348905905845465
3.75,2.55,-0.3683440652939718,-0.27121510932196224,-0.008904148587691892,-0.4341992722418908,-0.14389571899964956,39.62898344735432,6.425337000534126
3.875,2.55,-0.36622519142027643,-0.27003150676484405,-0.007639879714221249,-0.4320088822802898,-0.1428503801445586,39.230162043392546,6.332321618199503
4.0,2.55,-0.36439039867719536,-0.2689928839067802,-0.006534264796481106,-0.43010097414815446,-0.14195311295431498,38.88441791044286,6.253022699988575
4.125,2.55,-0.3627967181358016,-0.2680782703443464,-0.005563561274686615,-0.42843360318777907,-0.1411809667783212,38.58351611853706,6.185181763329819
4.25,2.55,-0.36140873201604223,-0.2672702714526737,-0.0047082089938651735,-0.4269721065577004,-0.14051508745152255,38.320728612820915,6.126974596734844
4.375,2.55,-0.3601970574543458,-0.2665543665521201,-0.003951985279702474,-0.42568765427368827,-0.13993988539989663,38.09051632914402,6.076915416295872
4.5,2.55,-0.3591371715394014,-0.2659183622120623,-0.003281351482270001,-0.42455612406738563,-0.13944239262055735,37.88828689609898,6.033784786521778
4.625,2.55,-0.3582084929132888,-0.26535196274885275,-0.0026849431578483307,-0.42355722014975794,-0.13901176133294527,37.71020803785225,5.996574805792995
4.75,2.55,-0.35739365811155616,-0.26484643009888537,-0.0021531690514007924,-0.42267377744831247,-0.13863886991770416,37.5530624954145,5.964446989048049
4.875,2.55,-0.356677947041363,-0.26439431245792255,-0.0016778932384417594,-0.4218912081476176,-0.1383160108356317,37.41413422501971,5.936699595467061
5.0,2.55,-0.35604882363467755,-0.2639892262705928,-0.001252181367739897,-0.42119705832568416,-0.13803664171651736,37.29111839213321,5.912742056700815
