theta_deg,component_A,component_B,g,width_keV,g_low,g_high
20.0,-2.0442489941542688,0.7278519500485024,-1.3163970441057666,16.969679656545104,-1.3163970441057666,-1.3163970441057666
21.0,-2.0309522556779,0.762641663076147,-1.2683105926017528,15.752557963474313,-1.2683105926017528,-1.2683105926017528
22.0,-2.017036869470175,0.7971990680653427,-1.2198378014048323,14.5714920006623,-1.2198378014048323,-1.2198378014048323
23.0,-2.002507074292535,0.8315136384957651,-1.1709934357967697,13.427920715055459,-1.1709934357967697,-1.1709934357967697
24.0,-1.9873672960613433,0.8655749218168481,-1.1217923742444953,12.323237372111665,-1.1217923742444953,-1.1217923742444953
25.0,-1.9716221464997123,0.8993725426317332,-1.0722496038679792,11.258787858320865,-1.0722496038679792,-1.0722496038679792
26.0,-1.9552764217327252,0.9328962058577154,-1.0223802158750097,10.235869041449735,-1.0223802158750097,-1.0223802158750097
27.0,-1.9383351008264897,0.9661356998622245,-0.9721994009642653,9.255727190508074,-0.9721994009642653,-0.9721994009642653
28.0,-1.9208033442714691,0.9990808995733891,-0.9217224446980801,8.319556457361971,-0.9217224446980801,-0.9217224446980801
29.0,-1.9026864924105433,1.0317217695642296,-0.8709647228463138,7.428497421843713,-0.8709647228463138,-0.8709647228463138
30.0,-1.8839900638122917,1.0640483671095473,-0.8199416967027444,6.583635702130976,-0.8199416967027444,-0.8199416967027444
31.0,-1.8647197535899813,1.096050845214576,-0.7686689083754054,5.786000632088238,-0.7686689083754054,-0.7686689083754054
32.0,-1.8448814316667812,1.1277194556144692,-0.717161976052312,5.0365640071820845,-0.717161976052312,-0.717161976052312
33.0,-1.8244811409877282,1.1590445517437187,-0.6654365892440095,4.336238900498113,-0.6654365892440095,-0.6654365892440095
34.0,-1.803525095678984,1.1900165916745902,-0.6135085040043937,3.6858785503019917,-0.6135085040043937,-0.6135085040043937
35.0,-1.7820196791549563,1.2206261410236878,-0.5613935381312685,3.0862753205001154,-0.5613935381312685,-0.5613935381312685
36.0,-1.7599714421738457,1.250863875825759,-0.5091075663480867,2.538159735266192,-0.5091075663480867,-0.5091075663480867
37.0,-1.7373871008422228,1.280720585373863,-0.45666651546835973,2.042199589010098,-0.45666651546835973,-0.45666651546835973
38.0,-1.7142735345692366,1.3101871750250436,-0.4040863595441932,1.5989991327732425,-0.4040863595441932,-0.4040863595441932
39.0,-1.6906377839710804,1.3392546689706428,-0.3513831150004376,1.2090983380417573,-0.3513831150004376,-0.3513831150004376
40.0,-1.6664870487263501,1.3679142129704225,-0.2985728357559276,0.8729722388744009,-0.2985728357559276,-0.2985728357559276
41.0,-1.6418286853829556,1.3961570770496492,-0.24567160833330623,0.5910303531467569,-0.24567160833330623,-0.24567160833330623
42.0,-1.6166702051172415,1.423974658158329,-0.1926955469589124,0.36361618361676695,-0.1926955469589124,-0.1926955469589124
43.0,-1.591019271446013,1.4513584827917816,-0.13966078865423126,0.19100679941953558,-0.13966078865423126,-0.13966078865423126
44.0,-1.5648836978921523,1.4783002095717503,-0.08658348832040194,0.07341249850126991,-0.08658348832040194,-0.08658348832040194
45.0,-1.5382714456045448,1.504791631787268,-0.03347981381727674,0.010976551403623852,-0.03347981381727674,-0.03347981381727674
46.0,-1.5111906209330357,1.5308246798944993,0.01963405896146355,0.0037750267106167004,0.01963405896146355,0.01963405896146355
47.0,-1.4836494729591585,1.5563914239748031,0.07274195101564473,0.05181669837077715,0.07274195101564473,0.07274195101564473
48.0,-1.4556563909833828,1.5814840761502622,0.12582768516687937,0.15504303500743927,0.12582768516687937,0.12582768516687937
49.0,-1.4272199019696534,1.6060949929559454,0.17887509098629192,0.31332827123020923,0.17887509098629192,0.17887509098629192
50.0,-1.3983486679479944,1.6302166776681823,0.23186800972018812,0.5264795608607212,0.23186800972018812,0.23186800972018812
51.0,-1.3690514833759706,1.6538417825881384,0.2847902992121679,0.7942372118860006,0.2847902992121679,0.2847902992121679
52.0,-1.3393372724598112,1.676963111279993,0.33762583882018193,1.1162750028531756,0.33762583882018193,0.33762583882018193
53.0,-1.3092150864360088,1.6995736207630452,0.39035853432703627,1.4922005803200717,0.39035853432703627,0.39035853432703627
54.0,-1.2786941008142267,1.7216664236570738,0.44297232284284704,1.9215559368774462,0.44297232284284704,0.44297232284284704
55.0,-1.2477836125823487,1.7432347902802992,0.49545117769795033,2.403817969160451,0.49545117769795033,0.49545117769795033
