theta_deg,component_A,component_B,g,width_keV,g_low,g_high
20.0,-0.1360598725807119,-0.36568536564643217,-0.501745238227144,1.3509192599430861,-0.501745238227144,-0.501745238227144
21.0,-0.1425632334927015,-0.3633067793364765,-0.505870012829178,1.3732219797427396,-0.505870012829178,-0.505870012829178
22.0,-0.14902316826272816,-0.3608175262621031,-0.5098406945248313,1.3948640089526916,-0.5098406945248313,-0.5098406945248313
23.0,-0.15543770913208219,-0.3582183646739125,-0.5136560738059947,1.4158189800940493,-0.5136560738059947,-0.5136560738059947
24.0,-0.16180490216947566,-0.3555100863017029,-0.5173149884711785,1.4360613627623418,-0.5173149884711785,-0.5173149884711785
25.0,-0.168122807866229,-0.35269351611330235,-0.5208163239795313,1.4555664947323894,-0.5208163239795313,-0.5208163239795313
26.0,-0.17438950172706413,-0.34976951206327483,-0.524159013790339,1.474310612005422,-0.524159013790339,-0.524159013790339
27.0,-0.1806030748563241,-0.34673896483157957,-0.5273420396879036,1.4922708777618494,-0.5273420396879036,-0.5273420396879036
28.0,-0.1867616345394416,-0.3436027975522607,-0.5303644320917024,1.509425410184418,-0.5303644320917024,-0.5303644320917024
29.0,-0.19286330481947783,-0.34036196553225245,-0.5332252703517303,1.5257533091178217,-0.5332252703517303,-0.5332252703517303
30.0,-0.19890622706855718,-0.33701745596038274,-0.5359236830289399,1.5412346815323303,-0.5359236830289399,-0.5359236830289399
31.0,-0.2048885605540236,-0.333570287606666,-0.5384588481606896,1.55585066576038,-0.5384588481606896,-0.5384588481606896
32.0,-0.21080848299914523,-0.33002151051197637,-0.5408299935111216,1.5695834544766087,-0.5408299935111216,-0.5408299935111216
33.0,-0.2166641911381977,-0.3263722056681946,-0.5430363968063923,1.5824163163933396,-0.5430363968063923,-0.5430363968063923
34.0,-0.22245390126575634,-0.32262348468892776,-0.5450773859546841,1.5943336166450781,-0.5450773859546841,-0.5450773859546841
35.0,-0.22817584978003003,-0.3187764894709008,-0.5469523392509308,1.6053208358371855,-0.5469523392509308,-0.5469523392509308
36.0,-0.23382829372007172,-0.3148323918461239,-0.5486606855661956,1.6153645877355303,-0.5486606855661956,-0.5486606855661956
37.0,-0.23940951129670066,-0.3107923932249407,-0.5502019045216413,1.6244526355755424,-0.5502019045216413,-0.5502019045216413
38.0,-0.24491780241697664,-0.30665772423006765,-0.5515755266470442,1.6325739069708378,-0.5515755266470442,-0.5515755266470442
39.0,-0.25035148920206435,-0.30242964432173414,-0.5527811335237984,1.6397185074032061,-0.5527811335237984,-0.5527811335237984
40.0,-0.2557089164983318,-0.2981094414140384,-0.5538183579123702,1.6458777322775624,-0.5538183579123702,-0.5538183579123702
41.0,-0.260988452381526,-0.29369843148263697,-0.554686883864163,1.6510440775271527,-0.554686883864163,-0.554686883864163
42.0,-0.26618848865387285,-0.2891979581638853,-0.5553864468177582,1.655211248756105,-0.5553864468177582,-0.5553864468177582
43.0,-0.2713074413339499,-0.28460939234555344,-0.5559168336795033,1.6583741689081801,-0.5559168336795033,-0.5559168336795033
44.0,-0.27634375113918247,-0.27993413174924003,-0.5562778828884225,1.6605289844523832,-0.5562778828884225,-0.5562778828884225
45.0,-0.281295883960816,-0.275173600504613,-0.556469484465429,1.661673070077899,-0.556469484465429,-0.556469484465429
46.0,-0.28616233133122065,-0.2703292487156056,-0.5564915800468263,1.6618050318926234,-0.5564915800468263,-0.5564915800468263
47.0,-0.2909416108833851,-0.26540255201870133,-0.5563441629020864,1.6609247091214137,-0.5563441629020864,-0.5563441629020864
48.0,-0.2956322668024598,-0.2603950111334399,-0.5560272779358997,1.659033174301963,-0.5560272779358997,-0.5560272779358997
49.0,-0.30023287026921236,-0.25530815140528407,-0.5555410216744965,1.656132731978081,-0.5555410216744965,-0.5555410216744965
50.0,-0.3047420198952598,-0.25014352234098464,-0.5548855422362444,1.6522269158919582,-0.5548855422362444,-0.5548855422362444
51.0,-0.3091583421499449,-0.2449026971365853,-0.5540610392865303,1.6473204846788527,-0.5540610392865303,-0.5540610392865303
52.0,-0.3134804917787271,-0.2395872721982126,-0.5530677639769397,1.6414194160694195,-0.5530677639769397,-0.5530677639769397
53.0,-0.31770715221295964,-0.23419886665579423,-0.5519060188687539,1.6345308996067691,-0.5519060188687539,-0.5519060188687539
54.0,-0.32183703597092994,-0.2287391218698572,-0.5505761578407872,1.626663327887117,-0.5505761578407872,-0.5505761578407872
55.0,-0.3258688850500381,-0.22320970093155293,-0.549078585981591,1.6178262863346957,-0.549078585981591,-0.549078585981591
