theta_deg,component_A,component_B,g,width_keV,g_low,g_high
20.0,-0.07697780630686706,0.02610593569142121,-0.05087187061544584,0.1392471129222773,-0.05087187061544584,-0.05087187061544584
21.0,-0.07647710714454682,0.027353741664823027,-0.04912336547972379,0.12983955270149594,-0.04912336547972379,-0.04912336547972379
22.0,-0.07595311231454,0.0285932154235321,-0.0473598968910079,0.12068471830331666,-0.0473598968910079,-0.0473598968910079
23.0,-0.07540598143074785,0.02982397941183447,-0.045582002018913374,0.11179376348325945,-0.045582002018913374,-0.045582002018913374
24.0,-0.07483588115453774,0.03104565872709661,-0.04379022242744113,0.10317752050022602,-0.04379022242744113,-0.04379022242744113
25.0,-0.07424298514397651,0.03225788123396443,-0.04198510391001207,0.09484648691906067,-0.04198510391001207,-0.04198510391001207
26.0,-0.07362747400093247,0.03346027767771928,-0.040167196323213195,0.08681081282088471,-0.040167196323213195,-0.040167196323213195
27.0,-0.0729895352160624,0.0346524817967565,-0.03833705341930589,0.07908028843678602,-0.03833705341930589,-0.03833705341930589
28.0,-0.0723293631117,0.0358341304341523,-0.0364952326775477,0.07166433221993072,-0.0364952326775477,-0.0364952326775477
29.0,-0.0716471587826635,0.03700486364828485,-0.03464229513437866,0.06457197937062845,-0.03464229513437866,-0.03464229513437866
30.0,-0.0709431300350002,0.038164324822475955,-0.032778805212524256,0.057811870828333015,-0.032778805212524256,-0.032778805212524256
31.0,-0.07021749132268672,0.03931216077362003,-0.030905330549066686,0.05139224274398817,-0.030905330549066686,-0.030905330549066686
32.0,-0.06947046368230422,0.040448021859766994,-0.02902244182253722,0.04532091644554687,-0.02902244182253722,-0.02902244182253722
33.0,-0.0687022746657086,0.041571562086626705,-0.02713071257908189,0.03960528890888761,-0.02713071257908189,-0.02713071257908189
34.0,-0.06791315827071592,0.04268243921296206,-0.02523071905775386,0.03425232374573889,-0.02523071905775386,-0.02523071905775386
35.0,-0.06710335486982445,0.043780314854839054,-0.023323040014985398,0.029268542719591006,-0.023323040014985398,-0.023323040014985398
36.0,-0.06627311113699483,0.044864854588701854,-0.02140825654829298,0.024660017799931558,-0.02140825654829298,-0.02140825654829298
37.0,-0.06542267997251085,0.045935728053241316,-0.019486951919269524,0.020432363764486407,-0.019486951919269524,-0.019486951919269524
38.0,-0.0645523204259435,0.046992609050026383,-0.017559711375917112,0.016590731358477533,-0.017559711375917112,-0.017559711375917112
39.0,-0.06366229761724204,0.048035175642867176,-0.015627121974374866,0.01313980101923359,-0.015627121974374866,-0.015627121974374866
40.0,-0.06275288265597584,0.049063110255879956,-0.013689772400095885,0.01008377717379782,-0.013689772400095885,-0.013689772400095885
41.0,-0.06182435255875182,0.05007609977022378,-0.011748252788528037,0.00742638311648153,-0.011748252788528037,-0.011748252788528037
42.0,-0.06087699016483244,0.05107383561947953,-0.009803154545352912,0.005170856472603369,-0.009803154545352912,-0.009803154545352912
43.0,-0.059911084049980204,0.05205601388364222,-0.007855070166337989,0.003319945253941679,-0.007855070166337989,-0.007855070166337989
44.0,-0.05892692843855466,0.05302233538169802,-0.005904593056856643,0.0018759045107053826,-0.005904593056856643,-0.005904593056856643
45.0,-0.057924823113888746,0.05397250576275766,-0.003952317351131084,0.0008404935841026639,-0.003952317351131084,-0.003952317351131084
46.0,-0.05690507332697197,0.05490623559571856,-0.0019988377312534097,0.0002149739628547767,-0.0019988377312534097,-0.0019988377312534097
47.0,-0.055867989703467985,0.05582324045742837,-4.474924603961616e-05,1.0774626630158567e-07,-4.474924603961616e-05,-4.474924603961616e-05
48.0,-0.054813888149094964,0.05672324101932297,0.0019093528702280043,0.00019615671572454724,0.0019093528702280043,0.0019093528702280043
49.0,-0.05374308975339765,0.0576059631325127,0.0038628733791150473,0.000802882015759259,0.0038628733791150473,0.0038628733791150473
50.0,-0.05265592069194047,0.058471137911290764,0.005815217219350294,0.001819544445051199,0.005815217219350294,0.005815217219350294
51.0,-0.05155271212695115,0.059318501815038435,0.0077657896880872854,0.0032449053570351473,0.0077657896880872854,0.0077657896880872854
52.0,-0.05043380010644564,0.06014779672850202,0.009713996622056383,0.005077228168999848,0.009713996622056383,0.009713996622056383
53.0,-0.0492995254618645,0.0609587700404173,0.011659244578552793,0.007314280477846605,0.011659244578552793,0.011659244578552793
54.0,-0.04815023370425246,0.0617511747204574,0.013600941016204933,0.009953336779928585,0.013600941016204933,0.013600941016204933
55.0,-0.04698627491901231,0.0625247693944806,0.01553849447546828,0.012991181791657185,0.01553849447546828,0.01553849447546828
