sector,quantity,value_python,value_mathematica,absolute_difference,relative_difference,pass,absolute_tolerance,relative_tolerance
D,rho_AA,0.0133624535237711,0.0133624535237711,0.0,0.0,True,2e-08,2e-05
D,rho_AB,0.0139316903115922,0.0139316903115922,0.0,0.0,True,2e-08,2e-05
D,rho_BB,0.0162928581428143,0.0162928581428143,0.0,0.0,True,2e-08,2e-05
D,Pi_AA,0.0472092492760689,0.047209249222392,5.3676896261123375e-11,1.1369995728428798e-09,True,2e-08,2e-05
D,Pi_AB,0.0538706260815418,0.053870625787902,2.936397999753204e-10,5.450833252445399e-09,True,2e-08,2e-05
D,Pi_BB,0.0994661097271678,0.0994661094443945,2.827732908938785e-10,2.8429109338800535e-09,True,2e-08,2e-05
D,T_hard,0.0192075645370198,0.0192075619634643,2.5735555006511923e-09,1.3398656012275978e-07,True,2e-08,2e-05
D,T_tw2,-0.0514358809421545,-0.0514358809421545,0.0,0.0,True,2e-08,2e-05
D,T_tw4_2p,-0.00086311524786,-0.00086311524786,0.0,0.0,True,2e-08,2e-05
D,T_tw3_2p,0.0134606623208508,0.0134606623208508,0.0,0.0,True,2e-08,2e-05
D,T_tw4_3p,4.4155324578837985e-21,0.0,4.4155324578837985e-21,1.0,True,2e-08,2e-05
D,T_tw3_3p,0.013460662455174,0.0134606623208508,1.3432319839745688e-10,9.978944115475226e-09,True,2e-08,2e-05
D,T_quoted_total_A,-0.0061701068769697,-0.0061701095848485,2.7078788005299725e-09,4.3887045493965263e-07,True,2e-08,2e-05
D,T_quoted_total_B,-0.0057491091223415,-0.0057491116454568,2.523115300023804e-09,4.388704647991451e-07,True,2e-08,2e-05
D,Ds1_2460_f,0.4044661869974889,0.4044661862603034,7.371854793269961e-10,1.8226133680034245e-09,True,2e-08,2e-05
D,Ds1_2460_g,-0.0449247986750838,-0.0449248191785551,2.0503471295785225e-08,4.5639518802053573e-07,True,2e-08,2e-05
D,Ds1_2460_width_keV,0.0642975249590636,0.0642975836492658,5.8690202198175e-08,9.12790168263892e-07,True,2e-08,2e-05
D,Ds1_2536_f,0.1406477268646041,0.1406477275422765,6.776723904255988e-10,4.81822495299045e-09,True,2e-08,2e-05
D,Ds1_2536_g,-0.0197384904429564,-0.0197384993204324,8.877475997370876e-09,4.497543533201288e-07,True,2e-08,2e-05
D,Ds1_2536_width_keV,0.0209632520499424,0.0209632709065828,1.8856640401909708e-08,8.995085016045098e-07,True,2e-08,2e-05
D,f_Dsstar,0.2526868816091904,0.2526868776414684,3.967721984299288e-09,1.5702128891818893e-08,True,2e-08,2e-05
B,rho_AA,0.0030140984247029,0.0030140984247028,9.974659986866641e-17,3.309334527736879e-14,True,2e-08,2e-05
B,rho_AB,0.00301628384453,0.00301628384453,0.0,0.0,True,2e-08,2e-05
B,rho_BB,0.0030320824839501,0.00303208248395,9.974659986866641e-17,3.289706015474874e-14,True,2e-08,2e-05
B,Pi_AA,0.0940276564333013,0.0940276559946197,4.3868160493065744e-10,4.665452927052767e-09,True,2e-08,2e-05
B,Pi_AB,0.107018159406488,0.1070181589744686,4.320193924822746e-10,4.036879300468359e-09,True,2e-08,2e-05
B,Pi_BB,0.1353985979698987,0.1353985975436732,4.262254993392389e-10,3.1479314094079155e-09,True,2e-08,2e-05
B,T_hard,0.0132933664613741,0.0132933626581558,3.803218299319733e-09,2.860989584820792e-07,True,2e-08,2e-05
B,T_tw2,-0.0231926126321682,-0.0231926126321682,0.0,0.0,True,2e-08,2e-05
B,T_tw4_2p,-0.0040262966181783,-0.0040262966181783,0.0,0.0,True,2e-08,2e-05
B,T_tw3_2p,0.0018440698218346,0.0018440698218345,9.996344030316351e-17,5.420805607225512e-14,True,2e-08,2e-05
B,T_tw4_3p,1.0908269825877428e-21,0.0,1.0908269825877428e-21,1.0,True,2e-08,2e-05
B,T_tw3_3p,0.0018440698402364,0.0018440698218345,1.8401900012468553e-11,9.978960455266448e-09,True,2e-08,2e-05
B,T_quoted_total_A,-0.0102374031269014,-0.0102374069485216,3.821620200850084e-09,3.7329962753917587e-07,True,2e-08,2e-05
B,T_quoted_total_B,-0.01001459046816,-0.0100145942066043,3.738444298920229e-09,3.732996287013653e-07,True,2e-08,2e-05
B,Bs1_lower_f,0.5148933633413564,0.5148933623721238,9.692325830812365e-10,1.8823947871292897e-09,True,2e-08,2e-05
B,Bs1_lower_g,-0.5315115895553809,-0.5315117953707407,2.0581535975505716e-07,3.872263260150165e-07,True,2e-08,2e-05
B,Bs1_lower_width_keV,1.51596212779273,1.5159633018343022,1.1740415721828157e-06,7.744525020904106e-07,True,2e-08,2e-05
B,Bs1_5830_f,0.0942331741445103,0.0942331739591903,1.853199954604534e-10,1.9666109853867163e-09,True,2e-08,2e-05
B,Bs1_5830_g,-0.5654446259380375,-0.5654448449407867,2.1900274926878183e-07,3.8731054182962043e-07,True,2e-08,2e-05
B,Bs1_5830_width_keV,3.1309779480567403,3.1309803733796797,2.4253229393700337e-06,7.746209334273351e-07,True,2e-08,2e-05
B,f_Bsstar,0.2993908941544886,0.2993908905485331,3.605955534169425e-09,1.2044305971138577e-08,True,2e-08,2e-05
