sector,quantity,value
D,rho_AA,0.01336245352377113
D,rho_AB,0.013931690311592216
D,rho_BB,0.016292858142814316
D,Pi_AA,0.04720924927606895
D,Pi_AB,0.053870626081541875
D,Pi_BB,0.09946610972716782
D,T_hard,0.01920756453701988
D,T_tw2,-0.05143588094215452
D,T_tw4_2p,-0.0008631152478600214
D,T_tw3_2p,0.013460662320850887
D,T_tw4_3p,4.4155324578837985e-21
D,T_tw3_3p,0.013460662455174032
D,T_quoted_total_A,-0.006170106876969745
D,T_quoted_total_B,-0.005749109122341582
D,Ds1_2460_f,0.40446618699748893
D,Ds1_2460_g,-0.0449247986750838
D,Ds1_2460_width_keV,0.06429752495906368
D,Ds1_2536_f,0.14064772686460417
D,Ds1_2536_g,-0.019738490442956447
D,Ds1_2536_width_keV,0.02096325204994244
D,f_Dsstar,0.2526868816091904
B,rho_AA,0.003014098424702909
B,rho_AB,0.003016283844530052
B,rho_BB,0.0030320824839501262
B,Pi_AA,0.09402765643330138
B,Pi_AB,0.10701815940648804
B,Pi_BB,0.1353985979698987
B,T_hard,0.013293366461374157
B,T_tw2,-0.023192612632168295
B,T_tw4_2p,-0.004026296618178309
B,T_tw3_2p,0.0018440698218346054
B,T_tw4_3p,1.0908269825877428e-21
B,T_tw3_3p,0.0018440698402364388
B,T_quoted_total_A,-0.010237403126901402
B,T_quoted_total_B,-0.010014590468160042
B,Bs1_lower_f,0.5148933633413564
B,Bs1_lower_g,-0.5315115895553809
B,Bs1_lower_width_keV,1.51596212779273
B,Bs1_5830_f,0.09423317414451032
B,Bs1_5830_g,-0.5654446259380375
B,Bs1_5830_width_keV,3.1309779480567403
B,f_Bsstar,0.29939089415448866
