sector,state,M2,s0,term,value_GeV4,included_in_quoted_total
D,Ds1_2460,5.0,6.75,hard,0.01920756453701988,True
D,Ds1_2460,5.0,6.75,tw2,-0.05143588094215452,True
D,Ds1_2460,5.0,6.75,tw4_2p,-0.0008631152478600214,True
D,Ds1_2460,5.0,6.75,tw3_2p,0.013460662320850887,True
D,Ds1_2460,5.0,6.75,tw4_3p,-6.1327645351683e-21,True
D,Ds1_2460,5.0,6.75,tw3_3p,0.013460662455174152,True
D,Ds1_2460,5.0,6.75,local_heavy_diagnostic,-0.006773798208949616,False
D,Ds1_2536,5.0,7.25,hard,0.020404079534552477,True
D,Ds1_2536,5.0,7.25,tw2,-0.05416452358433625,True
D,Ds1_2536,5.0,7.25,tw4_2p,-0.0008631152478600214,True
D,Ds1_2536,5.0,7.25,tw3_2p,0.014174742385737672,True
D,Ds1_2536,5.0,7.25,tw4_3p,-6.1327645351683e-21,True
D,Ds1_2536,5.0,7.25,tw3_3p,0.014174742527186705,True
D,Ds1_2536,5.0,7.25,local_heavy_diagnostic,-0.006773798208949616,False
B,Bs1_lower,6.0,38.0,hard,0.013054775128566613,True
B,Bs1_lower,6.0,38.0,tw2,-0.02297267214660597,True
B,Bs1_lower,6.0,38.0,tw4_2p,-0.004026296618178309,True
B,Bs1_lower,6.0,38.0,tw3_2p,0.0018265821149316501,True
B,Bs1_lower,6.0,38.0,tw4_3p,-1.5150573790652022e-21,True
B,Bs1_lower,6.0,38.0,tw3_3p,0.0018265821331589912,True
B,Bs1_lower,6.0,38.0,local_heavy_diagnostic,0.0008400006650438963,False
B,Bs1_5830,6.0,40.0,hard,0.013293366461374157,True
B,Bs1_5830,6.0,40.0,tw2,-0.023192612632168295,True
B,Bs1_5830,6.0,40.0,tw4_2p,-0.004026296618178309,True
B,Bs1_5830,6.0,40.0,tw3_2p,0.0018440698218346054,True
B,Bs1_5830,6.0,40.0,tw4_3p,-1.5150573790652022e-21,True
B,Bs1_5830,6.0,40.0,tw3_3p,0.0018440698402364553,True
B,Bs1_5830,6.0,40.0,local_heavy_diagnostic,0.0008400006650438963,False
