sector,M2,s0,Pi,mass_sr,f,pc,localfrac
D,2.5,6.5,0.04414090037336404,2.0213072740731644,0.2427710331021706,0.5768563637939378,0.15454397640133208
D,2.5,6.75,0.04615726286265107,2.0485535448563086,0.24825402369051539,0.6032072429971742,0.14779278151596428
D,2.5,7.0,0.04808291885662691,2.074560067540837,0.25337962229819755,0.6283727222965773,0.14187388011895904
D,2.5,7.25,0.049916917264552205,2.0993844197080676,0.2581666569316926,0.6523403723411164,0.13666128918740467
D,2.5,7.5,0.05165929738778851,2.1230802390764105,0.2626337412070044,0.675110706741532,0.13205193664223688
D,2.7,6.5,0.04986244936863139,2.035039954836768,0.24152302268673,0.5333339768497145,0.14489523075467023
D,2.7,6.75,0.05231607357794384,2.063451657239999,0.24739407947732098,0.5595781981789336,0.1380996434393512
D,2.7,7.0,0.054676738611224,2.0906441028132625,0.25291409414055577,0.584828118432579,0.13213719930577203
D,2.7,7.25,0.056941752732745085,2.116675117878999,0.2580994901736621,0.6090549465236106,0.1268810804116006
D,2.7,7.5,0.05910961272742378,2.1415981235019848,0.26296671920488235,0.632242603906177,0.12222768470125607
D,2.9,6.5,0.055460296151628646,2.0468761140775253,0.24061213618877136,0.4936428563720695,0.13680555273308342
D,2.9,6.75,0.05836627143806551,2.0762755114252074,0.24683538158858925,0.5195084582617776,0.1299941949832307
D,2.9,7.0,0.06118005599490019,2.104474887438963,0.25271520444750756,0.5445534858262526,0.12401552019495556
D,2.9,7.25,0.06389712119166423,2.131532539058426,0.25826590865701987,0.5687376304801638,0.11874207050745603
D,2.9,7.5,0.06651429824355722,2.1575019603392924,0.26350201669415646,0.5920326873979215,0.11406985670932766
D,3.1,6.5,0.06090679228710697,2.057158326988291,0.2399423716716961,0.4575601061619234,0.1299453117614095
D,3.1,6.75,0.06427419609040733,2.0874027576665477,0.2464860868736489,0.48285760721016585,0.12313731782818428
D,3.1,7.0,0.06755295114933654,2.116464869490496,0.2526947660909922,0.5074891377260189,0.11716071581594045
D,3.1,7.25,0.07073665819539299,2.1444035399163184,0.2585808464615137,0.5314066234329524,0.11188756034068618
D,3.1,7.5,0.07382042194242179,2.1712725022841304,0.2641571346342601,0.5545732886682102,0.1072135853992909
D,3.3,6.5,0.06618425176793759,2.0661578616462233,0.2394481402956595,0.42480658369603236,0.12406725379284818
